metapath	metaedge	metaedge_abbrev	position	length
CbGpMFpGdD	Disease - downregulates - Gene	DdG	4	4
CbGpMFpGuD	Compound - binds - Gene	CbG	1	4
CbGpMFpGuD	Gene - participates - Molecular Function	GpMF	2	4
CbGpMFpGuD	Gene - participates - Molecular Function	GpMF	3	4
CbGpMFpGuD	Disease - upregulates - Gene	DuG	4	4
CbGpPWpGaD	Compound - binds - Gene	CbG	1	4
CbGpPWpGaD	Gene - participates - Pathway	GpPW	2	4
CbGpPWpGaD	Gene - participates - Pathway	GpPW	3	4
CbGpPWpGaD	Disease - associates - Gene	DaG	4	4
CbGpPWpGdD	Compound - binds - Gene	CbG	1	4
CbGpPWpGdD	Gene - participates - Pathway	GpPW	2	4
CbGpPWpGdD	Gene - participates - Pathway	GpPW	3	4
CbGpPWpGdD	Disease - downregulates - Gene	DdG	4	4
CbGpPWpGuD	Compound - binds - Gene	CbG	1	4
CbGpPWpGuD	Gene - participates - Pathway	GpPW	2	4
CbGpPWpGuD	Gene - participates - Pathway	GpPW	3	4
CbGpPWpGuD	Disease - upregulates - Gene	DuG	4	4
CbGr>G<rGaD	Compound - binds - Gene	CbG	1	4
CbGr>G<rGaD	Gene > regulates > Gene	GrG	2	4
CbGr>G<rGaD	Gene > regulates > Gene	GrG	3	4
CbGr>G<rGaD	Disease - associates - Gene	DaG	4	4
CbGr>G<rGdD	Compound - binds - Gene	CbG	1	4
CbGr>G<rGdD	Gene > regulates > Gene	GrG	2	4
CbGr>G<rGdD	Gene > regulates > Gene	GrG	3	4
CbGr>G<rGdD	Disease - downregulates - Gene	DdG	4	4
CbGr>G<rGuD	Compound - binds - Gene	CbG	1	4
CbGr>G<rGuD	Gene > regulates > Gene	GrG	2	4
CbGr>G<rGuD	Gene > regulates > Gene	GrG	3	4
CbGr>G<rGuD	Disease - upregulates - Gene	DuG	4	4
CbGr>GaDrD	Compound - binds - Gene	CbG	1	4
CbGr>GaDrD	Gene > regulates > Gene	GrG	2	4
CbGr>GaDrD	Disease - associates - Gene	DaG	3	4
CbGr>GaDrD	Disease - resembles - Disease	DrD	4	4
CbGr>GbCpD	Compound - binds - Gene	CbG	1	4
CbGr>GbCpD	Gene > regulates > Gene	GrG	2	4
CbGr>GbCpD	Compound - binds - Gene	CbG	3	4
CbGr>GbCpD	Compound - palliates - Disease	CpD	4	4
CbGr>GbCtD	Compound - binds - Gene	CbG	1	4
CbGr>GbCtD	Gene > regulates > Gene	GrG	2	4
CbGr>GbCtD	Compound - binds - Gene	CbG	3	4
CbGr>GbCtD	Compound - treats - Disease	CtD	4	4
CbGr>GcGaD	Compound - binds - Gene	CbG	1	4
CbGr>GcGaD	Gene > regulates > Gene	GrG	2	4
CbGr>GcGaD	Gene - covaries - Gene	GcG	3	4
CbGr>GcGaD	Disease - associates - Gene	DaG	4	4
CbGr>GcGdD	Compound - binds - Gene	CbG	1	4
CbGr>GcGdD	Gene > regulates > Gene	GrG	2	4
CbGr>GcGdD	Gene - covaries - Gene	GcG	3	4
CbGr>GcGdD	Disease - downregulates - Gene	DdG	4	4
CbGr>GcGuD	Compound - binds - Gene	CbG	1	4
CbGr>GcGuD	Gene > regulates > Gene	GrG	2	4
CbGr>GcGuD	Gene - covaries - Gene	GcG	3	4
CbGr>GcGuD	Disease - upregulates - Gene	DuG	4	4
CbGr>GdAlD	Compound - binds - Gene	CbG	1	4
CbGr>GdAlD	Gene > regulates > Gene	GrG	2	4
CbGr>GdAlD	Anatomy - downregulates - Gene	AdG	3	4
CbGr>GdAlD	Disease - localizes - Anatomy	DlA	4	4
CbGr>GdCpD	Compound - binds - Gene	CbG	1	4
CbGr>GdCpD	Gene > regulates > Gene	GrG	2	4
CbGr>GdCpD	Compound - downregulates - Gene	CdG	3	4
CbGr>GdCpD	Compound - palliates - Disease	CpD	4	4
CbGr>GdCtD	Compound - binds - Gene	CbG	1	4
CbGr>GdCtD	Gene > regulates > Gene	GrG	2	4
CbGr>GdCtD	Compound - downregulates - Gene	CdG	3	4
CbGr>GdCtD	Compound - treats - Disease	CtD	4	4
CbGr>GdDrD	Compound - binds - Gene	CbG	1	4
CbGr>GdDrD	Gene > regulates > Gene	GrG	2	4
CbGr>GdDrD	Disease - downregulates - Gene	DdG	3	4
CbGr>GdDrD	Disease - resembles - Disease	DrD	4	4
CbGr>GeAlD	Compound - binds - Gene	CbG	1	4
CbGr>GeAlD	Gene > regulates > Gene	GrG	2	4
CbGr>GeAlD	Anatomy - expresses - Gene	AeG	3	4
CbGr>GeAlD	Disease - localizes - Anatomy	DlA	4	4
CbGr>GiGaD	Compound - binds - Gene	CbG	1	4
CbGr>GiGaD	Gene > regulates > Gene	GrG	2	4
CbGr>GiGaD	Gene - interacts - Gene	GiG	3	4
CbGr>GiGaD	Disease - associates - Gene	DaG	4	4
CbGr>GiGdD	Compound - binds - Gene	CbG	1	4
CbGr>GiGdD	Gene > regulates > Gene	GrG	2	4
CbGr>GiGdD	Gene - interacts - Gene	GiG	3	4
CbGr>GiGdD	Disease - downregulates - Gene	DdG	4	4
CbGr>GiGuD	Compound - binds - Gene	CbG	1	4
CbGr>GiGuD	Gene > regulates > Gene	GrG	2	4
CbGr>GiGuD	Gene - interacts - Gene	GiG	3	4
CbGr>GiGuD	Disease - upregulates - Gene	DuG	4	4
CbGr>Gr>GaD	Compound - binds - Gene	CbG	1	4
CbGr>Gr>GaD	Gene > regulates > Gene	GrG	2	4
CbGr>Gr>GaD	Gene > regulates > Gene	GrG	3	4
CbGr>Gr>GaD	Disease - associates - Gene	DaG	4	4
CbGr>Gr>GdD	Compound - binds - Gene	CbG	1	4
CbGr>Gr>GdD	Gene > regulates > Gene	GrG	2	4
CbGr>Gr>GdD	Gene > regulates > Gene	GrG	3	4
CbGr>Gr>GdD	Disease - downregulates - Gene	DdG	4	4
CbGr>Gr>GuD	Compound - binds - Gene	CbG	1	4
CbGr>Gr>GuD	Gene > regulates > Gene	GrG	2	4
CbGr>Gr>GuD	Gene > regulates > Gene	GrG	3	4
CbGr>Gr>GuD	Disease - upregulates - Gene	DuG	4	4
CbGr>GuAlD	Compound - binds - Gene	CbG	1	4
CbGr>GuAlD	Gene > regulates > Gene	GrG	2	4
CbGr>GuAlD	Anatomy - upregulates - Gene	AuG	3	4
CbGr>GuAlD	Disease - localizes - Anatomy	DlA	4	4
CbGr>GuCpD	Compound - binds - Gene	CbG	1	4
CbGr>GuCpD	Gene > regulates > Gene	GrG	2	4
CbGr>GuCpD	Compound - upregulates - Gene	CuG	3	4
CbGr>GuCpD	Compound - palliates - Disease	CpD	4	4
CbGr>GuCtD	Compound - binds - Gene	CbG	1	4
CbGr>GuCtD	Gene > regulates > Gene	GrG	2	4
CbGr>GuCtD	Compound - upregulates - Gene	CuG	3	4
CbGr>GuCtD	Compound - treats - Disease	CtD	4	4
CbGr>GuDrD	Compound - binds - Gene	CbG	1	4
CbGr>GuDrD	Gene > regulates > Gene	GrG	2	4
CbGr>GuDrD	Disease - upregulates - Gene	DuG	3	4
CbGr>GuDrD	Disease - resembles - Disease	DrD	4	4
CbGuAdGaD	Compound - binds - Gene	CbG	1	4
CbGuAdGaD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAdGaD	Anatomy - downregulates - Gene	AdG	3	4
CbGuAdGaD	Disease - associates - Gene	DaG	4	4
CbGuAdGdD	Compound - binds - Gene	CbG	1	4
CbGuAdGdD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAdGdD	Anatomy - downregulates - Gene	AdG	3	4
CbGuAdGdD	Disease - downregulates - Gene	DdG	4	4
CbGuAdGuD	Compound - binds - Gene	CbG	1	4
CbGuAdGuD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAdGuD	Anatomy - downregulates - Gene	AdG	3	4
CbGuAdGuD	Disease - upregulates - Gene	DuG	4	4
CbGuAeGaD	Compound - binds - Gene	CbG	1	4
CbGuAeGaD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAeGaD	Anatomy - expresses - Gene	AeG	3	4
CbGuAeGaD	Disease - associates - Gene	DaG	4	4
CbGuAeGdD	Compound - binds - Gene	CbG	1	4
CbGuAeGdD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAeGdD	Anatomy - expresses - Gene	AeG	3	4
CbGuAeGdD	Disease - downregulates - Gene	DdG	4	4
CbGuAeGuD	Compound - binds - Gene	CbG	1	4
CbGuAeGuD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAeGuD	Anatomy - expresses - Gene	AeG	3	4
CbGuAeGuD	Disease - upregulates - Gene	DuG	4	4
CbGuAlDrD	Compound - binds - Gene	CbG	1	4
CbGuAlDrD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAlDrD	Disease - localizes - Anatomy	DlA	3	4
CbGuAlDrD	Disease - resembles - Disease	DrD	4	4
CbGuAuGaD	Compound - binds - Gene	CbG	1	4
CbGuAuGaD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAuGaD	Anatomy - upregulates - Gene	AuG	3	4
CbGuAuGaD	Disease - associates - Gene	DaG	4	4
CbGuAuGdD	Compound - binds - Gene	CbG	1	4
CbGuAuGdD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAuGdD	Anatomy - upregulates - Gene	AuG	3	4
CbGuAuGdD	Disease - downregulates - Gene	DdG	4	4
CbGuAuGuD	Compound - binds - Gene	CbG	1	4
CbGuAuGuD	Anatomy - upregulates - Gene	AuG	2	4
CbGuAuGuD	Anatomy - upregulates - Gene	AuG	3	4
CbGuAuGuD	Disease - upregulates - Gene	DuG	4	4
CbGuCbGaD	Compound - binds - Gene	CbG	1	4
CbGuCbGaD	Compound - upregulates - Gene	CuG	2	4
CbGuCbGaD	Compound - binds - Gene	CbG	3	4
CbGuCbGaD	Disease - associates - Gene	DaG	4	4
CbGuCbGdD	Compound - binds - Gene	CbG	1	4
CbGuCbGdD	Compound - upregulates - Gene	CuG	2	4
CbGuCbGdD	Compound - binds - Gene	CbG	3	4
CbGuCbGdD	Disease - downregulates - Gene	DdG	4	4
CbGuCbGuD	Compound - binds - Gene	CbG	1	4
CbGuCbGuD	Compound - upregulates - Gene	CuG	2	4
CbGuCbGuD	Compound - binds - Gene	CbG	3	4
CbGuCbGuD	Disease - upregulates - Gene	DuG	4	4
CbGuCdGaD	Compound - binds - Gene	CbG	1	4
CbGuCdGaD	Compound - upregulates - Gene	CuG	2	4
CbGuCdGaD	Compound - downregulates - Gene	CdG	3	4
CbGuCdGaD	Disease - associates - Gene	DaG	4	4
CbGuCdGdD	Compound - binds - Gene	CbG	1	4
CbGuCdGdD	Compound - upregulates - Gene	CuG	2	4
CbGuCdGdD	Compound - downregulates - Gene	CdG	3	4
CbGuCdGdD	Disease - downregulates - Gene	DdG	4	4
CbGuCdGuD	Compound - binds - Gene	CbG	1	4
CbGuCdGuD	Compound - upregulates - Gene	CuG	2	4
CbGuCdGuD	Compound - downregulates - Gene	CdG	3	4
CbGuCdGuD	Disease - upregulates - Gene	DuG	4	4
CbGuCpDrD	Compound - binds - Gene	CbG	1	4
CbGuCpDrD	Compound - upregulates - Gene	CuG	2	4
CbGuCpDrD	Compound - palliates - Disease	CpD	3	4
CbGuCpDrD	Disease - resembles - Disease	DrD	4	4
CbGuCrCpD	Compound - binds - Gene	CbG	1	4
CbGuCrCpD	Compound - upregulates - Gene	CuG	2	4
CbGuCrCpD	Compound - resembles - Compound	CrC	3	4
CbGuCrCpD	Compound - palliates - Disease	CpD	4	4
CbGuCrCtD	Compound - binds - Gene	CbG	1	4
CbGuCrCtD	Compound - upregulates - Gene	CuG	2	4
CbGuCrCtD	Compound - resembles - Compound	CrC	3	4
CbGuCrCtD	Compound - treats - Disease	CtD	4	4
CbGuCtDrD	Compound - binds - Gene	CbG	1	4
CbGuCtDrD	Compound - upregulates - Gene	CuG	2	4
CbGuCtDrD	Compound - treats - Disease	CtD	3	4
CbGuCtDrD	Disease - resembles - Disease	DrD	4	4
CbGuCuGaD	Compound - binds - Gene	CbG	1	4
CbGuCuGaD	Compound - upregulates - Gene	CuG	2	4
CbGuCuGaD	Compound - upregulates - Gene	CuG	3	4
CbGuCuGaD	Disease - associates - Gene	DaG	4	4
CbGuCuGdD	Compound - binds - Gene	CbG	1	4
CbGuCuGdD	Compound - upregulates - Gene	CuG	2	4
CbGuCuGdD	Compound - upregulates - Gene	CuG	3	4
CbGuCuGdD	Disease - downregulates - Gene	DdG	4	4
CbGuCuGuD	Compound - binds - Gene	CbG	1	4
CbGuCuGuD	Compound - upregulates - Gene	CuG	2	4
CbGuCuGuD	Compound - upregulates - Gene	CuG	3	4
CbGuCuGuD	Disease - upregulates - Gene	DuG	4	4
CbGuDaGaD	Compound - binds - Gene	CbG	1	4
CbGuDaGaD	Disease - upregulates - Gene	DuG	2	4
CbGuDaGaD	Disease - associates - Gene	DaG	3	4
CbGuDaGaD	Disease - associates - Gene	DaG	4	4
CbGuDaGdD	Compound - binds - Gene	CbG	1	4
CbGuDaGdD	Disease - upregulates - Gene	DuG	2	4
CbGuDaGdD	Disease - associates - Gene	DaG	3	4
CbGuDaGdD	Disease - downregulates - Gene	DdG	4	4
CbGuDaGuD	Compound - binds - Gene	CbG	1	4
CbGuDaGuD	Disease - upregulates - Gene	DuG	2	4
CbGuDaGuD	Disease - associates - Gene	DaG	3	4
CbGuDaGuD	Disease - upregulates - Gene	DuG	4	4
CbGuDdGaD	Compound - binds - Gene	CbG	1	4
CbGuDdGaD	Disease - upregulates - Gene	DuG	2	4
CbGuDdGaD	Disease - downregulates - Gene	DdG	3	4
CbGuDdGaD	Disease - associates - Gene	DaG	4	4
CbGuDdGdD	Compound - binds - Gene	CbG	1	4
CbGuDdGdD	Disease - upregulates - Gene	DuG	2	4
CbGuDdGdD	Disease - downregulates - Gene	DdG	3	4
CbGuDdGdD	Disease - downregulates - Gene	DdG	4	4
CbGuDdGuD	Compound - binds - Gene	CbG	1	4
CbGuDdGuD	Disease - upregulates - Gene	DuG	2	4
CbGuDdGuD	Disease - downregulates - Gene	DdG	3	4
CbGuDdGuD	Disease - upregulates - Gene	DuG	4	4
CbGuDlAlD	Compound - binds - Gene	CbG	1	4
CbGuDlAlD	Disease - upregulates - Gene	DuG	2	4
CbGuDlAlD	Disease - localizes - Anatomy	DlA	3	4
CbGuDlAlD	Disease - localizes - Anatomy	DlA	4	4
CbGuDpCpD	Compound - binds - Gene	CbG	1	4
CbGuDpCpD	Disease - upregulates - Gene	DuG	2	4
CbGuDpCpD	Compound - palliates - Disease	CpD	3	4
CbGuDpCpD	Compound - palliates - Disease	CpD	4	4
CbGuDpCtD	Compound - binds - Gene	CbG	1	4
CbGuDpCtD	Disease - upregulates - Gene	DuG	2	4
CbGuDpCtD	Compound - palliates - Disease	CpD	3	4
CbGuDpCtD	Compound - treats - Disease	CtD	4	4
CbGuDpSpD	Compound - binds - Gene	CbG	1	4
CbGuDpSpD	Disease - upregulates - Gene	DuG	2	4
CbGuDpSpD	Disease - presents - Symptom	DpS	3	4
CbGuDpSpD	Disease - presents - Symptom	DpS	4	4
CbGuDrDrD	Compound - binds - Gene	CbG	1	4
CbGuDrDrD	Disease - upregulates - Gene	DuG	2	4
CbGuDrDrD	Disease - resembles - Disease	DrD	3	4
CbGuDrDrD	Disease - resembles - Disease	DrD	4	4
CbGuDtCpD	Compound - binds - Gene	CbG	1	4
CbGuDtCpD	Disease - upregulates - Gene	DuG	2	4
CbGuDtCpD	Compound - treats - Disease	CtD	3	4
CbGuDtCpD	Compound - palliates - Disease	CpD	4	4
CbGuDtCtD	Compound - binds - Gene	CbG	1	4
CbGuDtCtD	Disease - upregulates - Gene	DuG	2	4
CbGuDtCtD	Compound - treats - Disease	CtD	3	4
CbGuDtCtD	Compound - treats - Disease	CtD	4	4
CbGuDuGaD	Compound - binds - Gene	CbG	1	4
CbGuDuGaD	Disease - upregulates - Gene	DuG	2	4
CbGuDuGaD	Disease - upregulates - Gene	DuG	3	4
CbGuDuGaD	Disease - associates - Gene	DaG	4	4
CbGuDuGdD	Compound - binds - Gene	CbG	1	4
CbGuDuGdD	Disease - upregulates - Gene	DuG	2	4
CbGuDuGdD	Disease - upregulates - Gene	DuG	3	4
CbGuDuGdD	Disease - downregulates - Gene	DdG	4	4
CbGuDuGuD	Compound - binds - Gene	CbG	1	4
CbGuDuGuD	Disease - upregulates - Gene	DuG	2	4
CbGuDuGuD	Disease - upregulates - Gene	DuG	3	4
CbGuDuGuD	Disease - upregulates - Gene	DuG	4	4
CcSEcCbGaD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCbGaD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCbGaD	Compound - binds - Gene	CbG	3	4
CcSEcCbGaD	Disease - associates - Gene	DaG	4	4
CcSEcCbGdD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCbGdD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCbGdD	Compound - binds - Gene	CbG	3	4
CcSEcCbGdD	Disease - downregulates - Gene	DdG	4	4
CcSEcCbGuD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCbGuD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCbGuD	Compound - binds - Gene	CbG	3	4
CcSEcCbGuD	Disease - upregulates - Gene	DuG	4	4
CcSEcCdGaD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCdGaD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCdGaD	Compound - downregulates - Gene	CdG	3	4
CcSEcCdGaD	Disease - associates - Gene	DaG	4	4
CcSEcCdGdD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCdGdD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCdGdD	Compound - downregulates - Gene	CdG	3	4
CcSEcCdGdD	Disease - downregulates - Gene	DdG	4	4
CcSEcCdGuD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCdGuD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCdGuD	Compound - downregulates - Gene	CdG	3	4
CcSEcCdGuD	Disease - upregulates - Gene	DuG	4	4
CcSEcCpDrD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCpDrD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCpDrD	Compound - palliates - Disease	CpD	3	4
CcSEcCpDrD	Disease - resembles - Disease	DrD	4	4
CcSEcCrCpD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCrCpD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCrCpD	Compound - resembles - Compound	CrC	3	4
CcSEcCrCpD	Compound - palliates - Disease	CpD	4	4
CcSEcCrCtD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCrCtD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCrCtD	Compound - resembles - Compound	CrC	3	4
CcSEcCrCtD	Compound - treats - Disease	CtD	4	4
CcSEcCtDrD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCtDrD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCtDrD	Compound - treats - Disease	CtD	3	4
CcSEcCtDrD	Disease - resembles - Disease	DrD	4	4
CcSEcCuGaD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCuGaD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCuGaD	Compound - upregulates - Gene	CuG	3	4
CcSEcCuGaD	Disease - associates - Gene	DaG	4	4
CcSEcCuGdD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCuGdD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCuGdD	Compound - upregulates - Gene	CuG	3	4
CcSEcCuGdD	Disease - downregulates - Gene	DdG	4	4
CcSEcCuGuD	Compound - causes - Side Effect	CcSE	1	4
CcSEcCuGuD	Compound - causes - Side Effect	CcSE	2	4
CcSEcCuGuD	Compound - upregulates - Gene	CuG	3	4
CcSEcCuGuD	Disease - upregulates - Gene	DuG	4	4
CdG<rG<rGaD	Compound - downregulates - Gene	CdG	1	4
CdG<rG<rGaD	Gene > regulates > Gene	GrG	2	4
CdG<rG<rGaD	Gene > regulates > Gene	GrG	3	4
CdG<rG<rGaD	Disease - associates - Gene	DaG	4	4
CdG<rG<rGdD	Compound - downregulates - Gene	CdG	1	4
CdG<rG<rGdD	Gene > regulates > Gene	GrG	2	4
CdG<rG<rGdD	Gene > regulates > Gene	GrG	3	4
CdG<rG<rGdD	Disease - downregulates - Gene	DdG	4	4
CdG<rG<rGuD	Compound - downregulates - Gene	CdG	1	4
CdG<rG<rGuD	Gene > regulates > Gene	GrG	2	4
CdG<rG<rGuD	Gene > regulates > Gene	GrG	3	4
CdG<rG<rGuD	Disease - upregulates - Gene	DuG	4	4
CdG<rGaDrD	Compound - downregulates - Gene	CdG	1	4
CdG<rGaDrD	Gene > regulates > Gene	GrG	2	4
CdG<rGaDrD	Disease - associates - Gene	DaG	3	4
CdG<rGaDrD	Disease - resembles - Disease	DrD	4	4
CdG<rGbCpD	Compound - downregulates - Gene	CdG	1	4
CdG<rGbCpD	Gene > regulates > Gene	GrG	2	4
CdG<rGbCpD	Compound - binds - Gene	CbG	3	4
CdG<rGbCpD	Compound - palliates - Disease	CpD	4	4
CdG<rGbCtD	Compound - downregulates - Gene	CdG	1	4
CdG<rGbCtD	Gene > regulates > Gene	GrG	2	4
CdG<rGbCtD	Compound - binds - Gene	CbG	3	4
CdG<rGbCtD	Compound - treats - Disease	CtD	4	4
CdG<rGcGaD	Compound - downregulates - Gene	CdG	1	4
CdG<rGcGaD	Gene > regulates > Gene	GrG	2	4
CdG<rGcGaD	Gene - covaries - Gene	GcG	3	4
CdG<rGcGaD	Disease - associates - Gene	DaG	4	4
CdG<rGcGdD	Compound - downregulates - Gene	CdG	1	4
CdG<rGcGdD	Gene > regulates > Gene	GrG	2	4
CdG<rGcGdD	Gene - covaries - Gene	GcG	3	4
CdG<rGcGdD	Disease - downregulates - Gene	DdG	4	4
CdG<rGcGuD	Compound - downregulates - Gene	CdG	1	4
CdG<rGcGuD	Gene > regulates > Gene	GrG	2	4
CdG<rGcGuD	Gene - covaries - Gene	GcG	3	4
CdG<rGcGuD	Disease - upregulates - Gene	DuG	4	4
CdG<rGdAlD	Compound - downregulates - Gene	CdG	1	4
CdG<rGdAlD	Gene > regulates > Gene	GrG	2	4
CdG<rGdAlD	Anatomy - downregulates - Gene	AdG	3	4
CdG<rGdAlD	Disease - localizes - Anatomy	DlA	4	4
CdG<rGdCpD	Compound - downregulates - Gene	CdG	1	4
CdG<rGdCpD	Gene > regulates > Gene	GrG	2	4
CdG<rGdCpD	Compound - downregulates - Gene	CdG	3	4
CdG<rGdCpD	Compound - palliates - Disease	CpD	4	4
CdG<rGdCtD	Compound - downregulates - Gene	CdG	1	4
CdG<rGdCtD	Gene > regulates > Gene	GrG	2	4
CdG<rGdCtD	Compound - downregulates - Gene	CdG	3	4
CdG<rGdCtD	Compound - treats - Disease	CtD	4	4
CdG<rGdDrD	Compound - downregulates - Gene	CdG	1	4
CdG<rGdDrD	Gene > regulates > Gene	GrG	2	4
CdG<rGdDrD	Disease - downregulates - Gene	DdG	3	4
CdG<rGdDrD	Disease - resembles - Disease	DrD	4	4
CdG<rGeAlD	Compound - downregulates - Gene	CdG	1	4
CdG<rGeAlD	Gene > regulates > Gene	GrG	2	4
CdG<rGeAlD	Anatomy - expresses - Gene	AeG	3	4
CdG<rGeAlD	Disease - localizes - Anatomy	DlA	4	4
CdG<rGiGaD	Compound - downregulates - Gene	CdG	1	4
CdG<rGiGaD	Gene > regulates > Gene	GrG	2	4
CdG<rGiGaD	Gene - interacts - Gene	GiG	3	4
CdG<rGiGaD	Disease - associates - Gene	DaG	4	4
CdG<rGiGdD	Compound - downregulates - Gene	CdG	1	4
CdG<rGiGdD	Gene > regulates > Gene	GrG	2	4
CdG<rGiGdD	Gene - interacts - Gene	GiG	3	4
CdG<rGiGdD	Disease - downregulates - Gene	DdG	4	4
CdG<rGiGuD	Compound - downregulates - Gene	CdG	1	4
CdG<rGiGuD	Gene > regulates > Gene	GrG	2	4
CdG<rGiGuD	Gene - interacts - Gene	GiG	3	4
CdG<rGiGuD	Disease - upregulates - Gene	DuG	4	4
CdG<rGr>GaD	Compound - downregulates - Gene	CdG	1	4
CdG<rGr>GaD	Gene > regulates > Gene	GrG	2	4
CdG<rGr>GaD	Gene > regulates > Gene	GrG	3	4
CdG<rGr>GaD	Disease - associates - Gene	DaG	4	4
CdG<rGr>GdD	Compound - downregulates - Gene	CdG	1	4
CdG<rGr>GdD	Gene > regulates > Gene	GrG	2	4
CdG<rGr>GdD	Gene > regulates > Gene	GrG	3	4
CdG<rGr>GdD	Disease - downregulates - Gene	DdG	4	4
CdG<rGr>GuD	Compound - downregulates - Gene	CdG	1	4
CdG<rGr>GuD	Gene > regulates > Gene	GrG	2	4
CdG<rGr>GuD	Gene > regulates > Gene	GrG	3	4
CdG<rGr>GuD	Disease - upregulates - Gene	DuG	4	4
CdG<rGuAlD	Compound - downregulates - Gene	CdG	1	4
CdG<rGuAlD	Gene > regulates > Gene	GrG	2	4
CdG<rGuAlD	Anatomy - upregulates - Gene	AuG	3	4
CdG<rGuAlD	Disease - localizes - Anatomy	DlA	4	4
CdG<rGuCpD	Compound - downregulates - Gene	CdG	1	4
CdG<rGuCpD	Gene > regulates > Gene	GrG	2	4
CdG<rGuCpD	Compound - upregulates - Gene	CuG	3	4
CdG<rGuCpD	Compound - palliates - Disease	CpD	4	4
CdG<rGuCtD	Compound - downregulates - Gene	CdG	1	4
CdG<rGuCtD	Gene > regulates > Gene	GrG	2	4
CdG<rGuCtD	Compound - upregulates - Gene	CuG	3	4
CdG<rGuCtD	Compound - treats - Disease	CtD	4	4
CdG<rGuDrD	Compound - downregulates - Gene	CdG	1	4
CdG<rGuDrD	Gene > regulates > Gene	GrG	2	4
CdG<rGuDrD	Disease - upregulates - Gene	DuG	3	4
CdG<rGuDrD	Disease - resembles - Disease	DrD	4	4
CdGaDaGaD	Compound - downregulates - Gene	CdG	1	4
CdGaDaGaD	Disease - associates - Gene	DaG	2	4
CdGaDaGaD	Disease - associates - Gene	DaG	3	4
CdGaDaGaD	Disease - associates - Gene	DaG	4	4
CdGaDaGdD	Compound - downregulates - Gene	CdG	1	4
CdGaDaGdD	Disease - associates - Gene	DaG	2	4
CdGaDaGdD	Disease - associates - Gene	DaG	3	4
CdGaDaGdD	Disease - downregulates - Gene	DdG	4	4
CdGaDaGuD	Compound - downregulates - Gene	CdG	1	4
CdGaDaGuD	Disease - associates - Gene	DaG	2	4
CdGaDaGuD	Disease - associates - Gene	DaG	3	4
CdGaDaGuD	Disease - upregulates - Gene	DuG	4	4
CdGaDdGaD	Compound - downregulates - Gene	CdG	1	4
CdGaDdGaD	Disease - associates - Gene	DaG	2	4
CdGaDdGaD	Disease - downregulates - Gene	DdG	3	4
CdGaDdGaD	Disease - associates - Gene	DaG	4	4
CdGaDdGdD	Compound - downregulates - Gene	CdG	1	4
CdGaDdGdD	Disease - associates - Gene	DaG	2	4
CdGaDdGdD	Disease - downregulates - Gene	DdG	3	4
CdGaDdGdD	Disease - downregulates - Gene	DdG	4	4
CdGaDdGuD	Compound - downregulates - Gene	CdG	1	4
CdGaDdGuD	Disease - associates - Gene	DaG	2	4
CdGaDdGuD	Disease - downregulates - Gene	DdG	3	4
CdGaDdGuD	Disease - upregulates - Gene	DuG	4	4
CdGaDlAlD	Compound - downregulates - Gene	CdG	1	4
CdGaDlAlD	Disease - associates - Gene	DaG	2	4
CdGaDlAlD	Disease - localizes - Anatomy	DlA	3	4
CdGaDlAlD	Disease - localizes - Anatomy	DlA	4	4
CdGaDpCpD	Compound - downregulates - Gene	CdG	1	4
CdGaDpCpD	Disease - associates - Gene	DaG	2	4
CdGaDpCpD	Compound - palliates - Disease	CpD	3	4
CdGaDpCpD	Compound - palliates - Disease	CpD	4	4
