metapath	nonzero	seconds_per_query	auroc	auroc_permuted	delta_auroc	pval_auroc	length
CcSEcCbGuD	0.428	0.414	0.551	0.569	-0.0172	0.992	4
CcSEcCdGaD	0.949	0.727	0.65	0.66	-0.0106	0.98	4
CcSEcCdGdD	0.443	1.73	0.553	0.566	-0.0131	1	4
CcSEcCdGuD	0.473	2.66	0.58	0.581	-0.00169	0.701	4
CcSEcCpDrD	0.748	0.111	0.524	0.494	0.0295	0.00478	4
CcSEcCrCpD	0.464	0.0819	0.601	0.606	-0.00555	0.689	4
CcSEcCrCtD	0.869	0.193	0.817	0.721	0.096	4.96e-06	4
CcSEcCtDrD	0.915	0.179	0.627	0.522	0.106	3.16e-05	4
CcSEcCuGaD	0.952	0.876	0.661	0.662	-0.00103	0.638	4
CcSEcCuGdD	0.46	1.68	0.565	0.567	-0.0017	0.699	4
CcSEcCuGuD	0.486	2.13	0.582	0.579	0.00304	0.15	4
CdG<rG<rGaD	0.682	0.993	0.61	0.613	-0.00344	0.908	4
CdG<rG<rGdD	0.334	1.34	0.584	0.575	0.00934	0.0129	4
CdG<rG<rGuD	0.345	1.69	0.588	0.592	-0.00467	0.996	4
CdG<rGaDrD	0.656	0.0984	0.566	0.568	-0.00173	0.623	4
CdG<rGbCpD	0.292	0.0299	0.598	0.593	0.00534	0.19	4
CdG<rGbCtD	0.612	0.0516	0.635	0.641	-0.00576	0.909	4
CdG<rGcGaD	0.674	0.0565	0.606	0.616	-0.0095	0.994	4
CdG<rGcGdD	0.331	0.121	0.579	0.575	0.00397	0.132	4
CdG<rGcGuD	0.343	0.118	0.587	0.585	0.00205	0.231	4
CdG<rGdAlD	0.573	0.329	0.574	0.581	-0.00679	0.832	4
CdG<rGdCpD	0.284	0.0318	0.576	0.599	-0.0226	0.996	4
CdG<rGdCtD	0.657	0.183	0.618	0.643	-0.0255	0.999	4
CdG<rGdDrD	0.518	0.118	0.54	0.545	-0.00456	0.667	4
CdG<rGeAlD	0.673	1.87	0.586	0.583	0.00292	0.0701	4
CdG<rGiGaD	0.683	0.561	0.609	0.616	-0.00653	0.987	4
CdG<rGiGdD	0.354	0.836	0.585	0.579	0.00635	0.0446	4
CdG<rGiGuD	0.36	1.03	0.592	0.596	-0.00338	0.901	4
CdG<rGr>GaD	0.683	1.89	0.608	0.615	-0.00685	0.989	4
CdG<rGr>GdD	0.335	4.23	0.585	0.579	0.00527	0.0829	4
CdG<rGr>GuD	0.353	5.86	0.592	0.596	-0.00362	0.935	4
CdG<rGuAlD	0.573	0.335	0.573	0.582	-0.00916	0.897	4
CdG<rGuCpD	0.263	0.0319	0.578	0.592	-0.014	0.98	4
CdG<rGuCtD	0.649	0.16	0.617	0.644	-0.0275	0.999	4
CdG<rGuDrD	0.519	0.139	0.541	0.546	-0.00469	0.664	4
CdGaDaGaD	0.596	0.0629	0.612	0.604	0.00789	0.0189	4
CdGaDaGdD	0.288	0.0441	0.587	0.572	0.0151	0.000899	4
CdGaDaGuD	0.287	0.0553	0.59	0.581	0.0091	0.0651	4
CdGaDdGaD	0.558	0.045	0.606	0.601	0.00547	0.0476	4
CdGaDdGdD	0.289	0.113	0.591	0.572	0.0181	0.00212	4
CdGaDdGuD	0.29	0.0885	0.587	0.584	0.00304	0.211	4
CdGaDlAlD	0.565	0.0235	0.595	0.585	0.00947	0.00145	4
CdGaDpCpD	0.149	0.0123	0.571	0.564	0.00713	0.0195	4
CdGaDpCtD	0.169	0.0117	0.571	0.611	-0.0391	1	4
CdGaDpSpD	0.567	0.0295	0.594	0.585	0.00866	0.00642	4
CdGaDrDrD	0.452	0.0168	0.582	0.569	0.0126	0.0173	4
CdGaDtCpD	0.103	0.0111	0.556	0.56	-0.00418	0.762	4
CdGaDtCtD	0.415	0.0172	0.609	0.627	-0.0184	0.994	4
CdGaDuGaD	0.564	0.0446	0.612	0.602	0.00977	0.0168	4
CdGaDuGdD	0.288	0.089	0.586	0.572	0.0138	0.00572	4
CdGaDuGuD	0.289	0.135	0.591	0.585	0.00574	0.057	4
CdGbCbGaD	0.315	0.0149	0.599	0.592	0.00749	0.00244	4
CdGbCbGdD	0.153	0.015	0.558	0.545	0.0127	0.00415	4
CdGbCbGuD	0.159	0.0142	0.56	0.544	0.0162	0.00116	4
CdGbCdGaD	0.281	0.0159	0.585	0.576	0.00883	0.00956	4
CdGbCdGdD	0.15	0.022	0.568	0.547	0.0201	0.000582	4
CdGbCdGuD	0.161	0.0236	0.564	0.553	0.0107	0.00458	4
CdGbCpDrD	0.0313	0.0111	0.501	0.531	-0.0294	1	4
CdGbCrCpD	0.0336	0.0108	0.508	0.544	-0.0359	0.999	4
CdGbCrCtD	0.159	0.0114	0.615	0.595	0.0192	0.000265	4
CdGbCtDrD	0.191	0.0117	0.573	0.55	0.0227	0.00189	4
CdGbCuGaD	0.294	0.0167	0.59	0.576	0.0137	0.000827	4
CdGbCuGdD	0.155	0.0208	0.569	0.548	0.0213	0.000965	4
CdGbCuGuD	0.155	0.022	0.566	0.553	0.0134	0.00113	4
CdGcG<rGaD	0.525	0.041	0.599	0.602	-0.00239	0.834	4
CdGcG<rGdD	0.268	0.0476	0.565	0.565	1.08e-05	0.498	4
CdGcG<rGuD	0.266	0.0563	0.565	0.577	-0.0117	0.999	4
CdGcGaDrD	0.358	0.016	0.557	0.56	-0.00272	0.7	4
CdGcGbCpD	0.0707	0.0125	0.544	0.55	-0.00615	0.987	4
CdGcGbCtD	0.179	0.0139	0.592	0.6	-0.0084	0.973	4
CdGcGcGaD	0.494	0.0252	0.608	0.611	-0.00265	0.832	4
CdGcGcGdD	0.275	0.0563	0.566	0.573	-0.00699	0.968	4
CdGcGcGuD	0.28	0.0536	0.569	0.579	-0.00959	0.976	4
CdGcGdAlD	0.522	0.0395	0.571	0.583	-0.0112	0.974	4
CdGcGdCpD	0.0787	0.0121	0.538	0.547	-0.00905	0.954	4
CdGcGdCtD	0.319	0.0189	0.596	0.629	-0.033	1	4
CdGcGdDrD	0.377	0.0218	0.54	0.547	-0.00696	0.757	4
CdGcGeAlD	0.639	0.149	0.586	0.582	0.00389	0.0289	4
CdGcGiGaD	0.532	0.0333	0.611	0.607	0.00357	0.0492	4
CdGcGiGdD	0.272	0.0437	0.567	0.569	-0.0028	0.754	4
CdGcGiGuD	0.273	0.0467	0.568	0.577	-0.00885	0.999	4
CdGcGr>GaD	0.482	0.0325	0.604	0.604	0.000196	0.461	4
CdGcGr>GdD	0.253	0.0476	0.574	0.57	0.0045	0.109	4
CdGcGr>GuD	0.264	0.0615	0.572	0.579	-0.00713	0.983	4
CdGcGuAlD	0.508	0.0388	0.575	0.582	-0.00685	0.923	4
CdGcGuCpD	0.0797	0.0126	0.549	0.54	0.00842	0.0638	4
CdGcGuCtD	0.321	0.0179	0.595	0.633	-0.038	1	4
CdGcGuDrD	0.383	0.0236	0.543	0.544	-0.00135	0.548	4
CdGdAdGaD	0.672	0.566	0.612	0.614	-0.00178	0.878	4
CdGdAdGdD	0.351	2.12	0.589	0.581	0.00862	0.0111	4
CdGdAdGuD	0.359	2.11	0.598	0.595	0.00339	0.137	4
CdGdAeGaD	0.672	1.32	0.609	0.613	-0.00411	0.98	4
CdGdAeGdD	0.352	5.31	0.589	0.581	0.00848	0.0131	4
CdGdAeGuD	0.359	5.72	0.597	0.597	-7.85e-05	0.512	4
CdGdAlDrD	0.603	0.0267	0.565	0.569	-0.00457	0.867	4
CdGdAuGaD	0.672	0.478	0.608	0.613	-0.00551	0.993	4
CdGdAuGdD	0.352	1.78	0.589	0.581	0.00798	0.0149	4
CdGdAuGuD	0.359	1.93	0.597	0.595	0.00234	0.217	4
CdGdCbGaD	0.66	0.0571	0.618	0.616	0.00208	0.144	4
CdGdCbGdD	0.298	0.0463	0.559	0.568	-0.00957	0.941	4
CdGdCbGuD	0.305	0.045	0.571	0.572	-0.00117	0.61	4
CdGdCdGaD	0.669	0.32	0.606	0.616	-0.00941	0.993	4
CdGdCdGdD	0.321	0.915	0.577	0.578	-0.000876	0.653	4
CdGdCdGuD	0.347	1.41	0.591	0.593	-0.00229	0.734	4
CdGdCpDrD	0.388	0.018	0.547	0.54	0.00739	0.131	4
CdGdCrCpD	0.254	0.0167	0.575	0.589	-0.0146	0.952	4
CdGdCrCtD	0.53	0.0286	0.688	0.644	0.0437	0.000255	4
CdGdCtDrD	0.61	0.0317	0.6	0.568	0.0325	0.00217	4
CdGdCuGaD	0.673	0.388	0.613	0.616	-0.00314	0.903	4
CdGdCuGdD	0.331	0.858	0.587	0.578	0.00822	0.042	4
CdGdCuGuD	0.349	1.07	0.591	0.589	0.00172	0.292	4
CdGdDaGaD	0.673	0.0905	0.608	0.608	0.000695	0.365	4
CdGdDaGdD	0.318	0.0554	0.575	0.573	0.00273	0.19	4
CdGdDaGuD	0.323	0.0752	0.581	0.58	0.000769	0.442	4
CdGdDdGaD	0.677	0.209	0.611	0.613	-0.00245	0.909	4
CdGdDdGdD	0.352	0.867	0.588	0.581	0.00687	0.028	4
CdGdDdGuD	0.36	0.719	0.595	0.595	1.23e-06	0.5	4
CdGdDlAlD	0.657	0.0306	0.589	0.587	0.00122	0.293	4
CdGdDpCpD	0.158	0.0123	0.558	0.565	-0.00725	0.818	4
CdGdDpCtD	0.216	0.0139	0.573	0.625	-0.0512	1	4
CdGdDpSpD	0.654	0.0431	0.584	0.588	-0.00444	0.922	4
CdGdDrDrD	0.553	0.0197	0.575	0.569	0.00605	0.15	4
CdGdDtCpD	0.0977	0.0125	0.533	0.554	-0.0212	0.979	4
CdGdDtCtD	0.43	0.0191	0.609	0.637	-0.028	1	4
CdGdDuGaD	0.677	0.261	0.611	0.613	-0.00167	0.81	4
CdGdDuGdD	0.352	0.701	0.589	0.58	0.00861	0.02	4
CdGdDuGuD	0.35	1.01	0.592	0.598	-0.00508	0.928	4
CdGeAdGaD	0.683	1.91	0.612	0.615	-0.00336	0.962	4
CdGeAdGdD	0.358	7.46	0.588	0.581	0.00732	0.0274	4
CdGeAdGuD	0.365	7.29	0.597	0.595	0.00229	0.231	4
CdGeAeGaD	0.683	9.55	0.612	0.614	-0.00199	0.869	4
CdGeAeGdD	0.358	35.6	0.588	0.581	0.00699	0.0314	4
CdGeAeGuD	0.365	36.9	0.596	0.598	-0.00145	0.691	4
CdGeAlDrD	0.657	0.111	0.576	0.573	0.0026	0.18	4
CdGeAuGaD	0.683	1.86	0.611	0.615	-0.00383	0.974	4
CdGeAuGdD	0.358	7.06	0.589	0.581	0.00765	0.0228	4
CdGeAuGuD	0.365	7.52	0.597	0.595	0.00187	0.267	4
CdGiG<rGaD	0.66	0.165	0.607	0.611	-0.00364	0.888	4
CdGiG<rGdD	0.327	0.203	0.579	0.574	0.0053	0.0715	4
CdGiG<rGuD	0.331	0.265	0.582	0.589	-0.00712	0.997	4
CdGiGaDrD	0.594	0.033	0.575	0.566	0.00868	0.0418	4
CdGiGbCpD	0.156	0.0168	0.557	0.575	-0.0175	0.996	4
CdGiGbCtD	0.392	0.0242	0.62	0.633	-0.0134	0.999	4
CdGiGcGaD	0.54	0.0284	0.597	0.613	-0.0161	0.999	4
CdGiGcGdD	0.293	0.0473	0.577	0.571	0.00565	0.0522	4
CdGiGcGuD	0.302	0.047	0.576	0.576	-9.08e-05	0.511	4
CdGiGdAlD	0.572	0.0952	0.575	0.584	-0.00906	0.921	4
CdGiGdCpD	0.16	0.0169	0.554	0.579	-0.025	0.996	4
CdGiGdCtD	0.533	0.0519	0.602	0.642	-0.0396	1	4
CdGiGdDrD	0.476	0.0419	0.544	0.546	-0.0023	0.587	4
CdGiGeAlD	0.673	0.525	0.589	0.584	0.00521	0.0334	4
CdGiGiGaD	0.683	0.447	0.611	0.614	-0.00325	0.92	4
CdGiGiGdD	0.355	1.21	0.587	0.58	0.00629	0.0314	4
CdGiGiGuD	0.356	1.45	0.594	0.598	-0.00396	0.903	4
CdGiGr>GaD	0.668	0.147	0.607	0.611	-0.00447	0.903	4
CdGiGr>GdD	0.325	0.288	0.582	0.579	0.0038	0.142	4
CdGiGr>GuD	0.339	0.413	0.588	0.593	-0.00556	0.954	4
CdGiGuAlD	0.569	0.0993	0.572	0.584	-0.012	0.964	4
CdGiGuCpD	0.156	0.0177	0.56	0.57	-0.0102	0.986	4
CdGiGuCtD	0.515	0.0388	0.605	0.644	-0.0397	1	4
CdGiGuDrD	0.481	0.0501	0.544	0.549	-0.00475	0.67	4
CdGpBPpGaD	0.677	0.914	0.612	0.613	-0.000864	0.657	4
CdGpBPpGdD	0.343	1.33	0.588	0.581	0.00756	0.0151	4
CdGpBPpGuD	0.345	1.66	0.591	0.594	-0.00312	0.871	4
CdGpCCpGaD	0.646	0.0867	0.604	0.611	-0.00652	0.977	4
CdGpCCpGdD	0.325	0.206	0.586	0.578	0.00834	0.0136	4
CdGpCCpGuD	0.319	0.241	0.583	0.588	-0.00535	0.887	4
CdGpMFpGaD	0.65	0.11	0.61	0.613	-0.00282	0.892	4
CdGpMFpGdD	0.331	0.224	0.586	0.58	0.00624	0.0339	4
CdGpMFpGuD	0.328	0.246	0.588	0.593	-0.00496	0.916	4
CdGpPWpGaD	0.63	0.095	0.617	0.608	0.00941	0.0104	4
CdGpPWpGdD	0.314	0.102	0.583	0.575	0.00829	0.0435	4
CdGpPWpGuD	0.313	0.152	0.584	0.588	-0.00366	0.908	4
CdGr>G<rGaD	0.672	1.25	0.609	0.612	-0.0032	0.918	4
CdGr>G<rGdD	0.33	1.83	0.584	0.576	0.00794	0.024	4
CdGr>G<rGuD	0.34	2.28	0.588	0.593	-0.00536	0.997	4
CdGr>GaDrD	0.627	0.0478	0.568	0.569	-0.00104	0.574	4
CdGr>GbCpD	0.188	0.022	0.573	0.579	-0.00581	0.792	4
CdGr>GbCtD	0.482	0.0327	0.624	0.633	-0.00947	0.996	4
CdGr>GcGaD	0.624	0.0387	0.606	0.615	-0.00958	0.998	4
CdGr>GcGdD	0.311	0.0735	0.574	0.574	-1.36e-05	0.502	4
CdGr>GcGuD	0.317	0.0724	0.575	0.581	-0.00596	0.963	4
CdGr>GdAlD	0.566	0.189	0.574	0.584	-0.0101	0.943	4
CdGr>GdCpD	0.265	0.0253	0.57	0.599	-0.0295	0.999	4
CdGr>GdCtD	0.649	0.166	0.618	0.639	-0.0208	0.999	4
CdGr>GdDrD	0.498	0.0695	0.538	0.549	-0.0109	0.869	4
CdGr>GeAlD	0.664	1.06	0.585	0.585	7.42e-05	0.478	4
CdGr>GiGaD	0.671	0.204	0.604	0.613	-0.00845	0.997	4
CdGr>GiGdD	0.335	0.296	0.582	0.579	0.00278	0.106	4
CdGr>GiGuD	0.342	0.368	0.586	0.595	-0.00915	0.996	4
CdGr>Gr>GaD	0.67	0.338	0.604	0.612	-0.00788	0.994	4
CdGr>Gr>GdD	0.326	0.725	0.583	0.58	0.00316	0.148	4
CdGr>Gr>GuD	0.346	1.01	0.59	0.595	-0.00504	0.985	4
CdGr>GuAlD	0.566	0.192	0.572	0.585	-0.0127	0.97	4
CdGr>GuCpD	0.257	0.0253	0.58	0.594	-0.0138	0.983	4
CdGr>GuCtD	0.627	0.123	0.621	0.641	-0.0194	0.999	4
CdGr>GuDrD	0.5	0.0891	0.542	0.549	-0.00764	0.775	4
CdGrPBrGaD	0.683	0.641	0.617	0.615	0.00237	0.153	4
CdGrPBrGdD	0.353	1.6	0.59	0.581	0.00895	0.0155	4
CdGrPBrGuD	0.355	2.28	0.595	0.597	-0.00242	0.786	4
CdGuAdGaD	0.672	0.551	0.61	0.614	-0.0042	0.982	4
CdGuAdGdD	0.351	2.17	0.588	0.58	0.0081	0.0177	4
CdGuAdGuD	0.359	2.03	0.598	0.595	0.00334	0.148	4
CdGuAeGaD	0.672	1.52	0.612	0.613	-0.00146	0.832	4
CdGuAeGdD	0.352	6.07	0.59	0.581	0.00901	0.01	4
CdGuAeGuD	0.359	6.59	0.598	0.597	0.000859	0.374	4
CdGuAlDrD	0.597	0.0312	0.578	0.571	0.00756	0.0505	4
CdGuAuGaD	0.672	0.563	0.613	0.614	-0.000896	0.73	4
CdGuAuGdD	0.351	2.01	0.59	0.581	0.00931	0.0102	4
CdGuAuGuD	0.358	2.29	0.596	0.595	0.00138	0.318	4
CdGuCbGaD	0.575	0.0253	0.602	0.608	-0.006	0.981	4
CdGuCbGdD	0.261	0.024	0.561	0.56	0.00143	0.344	4
CdGuCbGuD	0.268	0.0232	0.566	0.561	0.00524	0.13	4
CdGuCdGaD	0.645	0.0807	0.606	0.609	-0.00278	0.893	4
CdGuCdGdD	0.309	0.212	0.575	0.577	-0.00244	0.869	4
CdGuCdGuD	0.334	0.307	0.59	0.592	-0.0015	0.687	4
CdGuCpDrD	0.196	0.0129	0.545	0.537	0.00713	0.078	4
CdGuCrCpD	0.141	0.0123	0.567	0.57	-0.0028	0.656	4
CdGuCrCtD	0.374	0.0164	0.607	0.631	-0.0238	0.999	4
CdGuCtDrD	0.488	0.0175	0.551	0.569	-0.0183	0.98	4
CdGuCuGaD	0.654	0.102	0.615	0.609	0.00611	0.0168	4
CdGuCuGdD	0.321	0.214	0.587	0.578	0.00848	0.0345	4
CdGuCuGuD	0.335	0.268	0.587	0.588	-0.00145	0.7	4
CdGuDaGaD	0.677	0.154	0.606	0.611	-0.00515	0.977	4
CdGuDaGdD	0.329	0.0895	0.581	0.572	0.00838	0.0187	4
CdGuDaGuD	0.326	0.128	0.581	0.582	-0.000854	0.561	4
CdGuDdGaD	0.681	0.316	0.611	0.615	-0.00404	0.977	4
CdGuDdGdD	0.355	1.26	0.588	0.581	0.00659	0.0343	4
CdGuDdGuD	0.361	0.996	0.597	0.596	0.00166	0.302	4
CdGuDlAlD	0.662	0.0419	0.59	0.588	0.00258	0.113	4
CdGuDpCpD	0.17	0.0129	0.555	0.566	-0.0114	0.914	4
CdGuDpCtD	0.217	0.0149	0.571	0.628	-0.0577	1	4
CdGuDpSpD	0.661	0.0631	0.587	0.589	-0.00263	0.817	4
CdGuDrDrD	0.556	0.0248	0.578	0.571	0.00688	0.0982	4
CdGuDtCpD	0.105	0.0126	0.535	0.557	-0.0227	0.979	4
CdGuDtCtD	0.451	0.0266	0.602	0.638	-0.0359	1	4
CdGuDuGaD	0.681	0.414	0.612	0.615	-0.0028	0.945	4
CdGuDuGdD	0.355	1.06	0.589	0.581	0.0084	0.017	4
CdGuDuGuD	0.351	1.65	0.593	0.598	-0.00493	0.93	4
CpDaG<rGaD	0.152	0.0213	0.527	0.526	0.000331	0.414	4
CpDaG<rGdD	0.0702	0.0214	0.535	0.522	0.0134	0.00162	4
CpDaG<rGuD	0.0715	0.0228	0.535	0.527	0.00795	0.0114	4
CpDaGaDrD	0.149	0.0131	0.528	0.523	0.0054	0.00513	4
CpDaGbCpD	0.0615	0.0111	0.534	0.524	0.0098	0.00649	4
CpDaGbCtD	0.127	0.0111	0.532	0.535	-0.00238	0.94	4
CpDaGcGaD	0.132	0.0126	0.523	0.529	-0.00561	0.995	4
CpDaGcGdD	0.0738	0.0162	0.541	0.525	0.0161	0.00549	4
