hetnet	metapath	nonzero	auroc	auprc	mean_PC	seconds_per_query	permuted
hetio-ind_perm-0	CbGuDlAlD	0.947	0.549	0.222	50.3	0.0175	1
hetio-ind_perm-0	CbGuDpCpD	0.245	0.567	0.254	0.999	0.0112	1
hetio-ind_perm-0	CbGuDpCtD	0.392	0.631	0.291	2.09	0.0117	1
hetio-ind_perm-0	CbGuDpSpD	0.953	0.559	0.224	59.9	0.019	1
hetio-ind_perm-0	CbGuDrD	0.404	0.511	0.202	1.33	0.0236	1
hetio-ind_perm-0	CbGuDrDrD	0.839	0.512	0.202	15.4	0.013	1
hetio-ind_perm-0	CbGuDtCpD	0.153	0.519	0.221	0.794	0.0107	1
hetio-ind_perm-0	CbGuDtCtD	0.815	0.666	0.35	15.2	0.0126	1
hetio-ind_perm-0	CbGuDuGaD	0.98	0.645	0.324	778	0.0438	1
hetio-ind_perm-0	CbGuDuGdD	0.496	0.573	0.231	2.05e+03	0.0928	1
hetio-ind_perm-0	CbGuDuGuD	0.508	0.59	0.237	2.77e+03	0.124	1
hetio-ind_perm-0	CcSEcCbGaD	0.955	0.662	0.365	1.72e+04	0.796	1
hetio-ind_perm-0	CcSEcCbGdD	0.426	0.571	0.241	1.24e+04	0.523	1
hetio-ind_perm-0	CcSEcCbGuD	0.456	0.583	0.244	9.39e+03	0.417	1
hetio-ind_perm-0	CcSEcCdGaD	0.955	0.67	0.381	1.75e+04	0.763	1
hetio-ind_perm-0	CcSEcCdGdD	0.472	0.567	0.234	4.77e+04	1.73	1
hetio-ind_perm-0	CcSEcCdGuD	0.479	0.583	0.241	6.55e+04	2.36	1
hetio-ind_perm-0	CcSEcCpD	0.46	0.606	0.266	138	0.0196	1
hetio-ind_perm-0	CcSEcCpDrD	0.722	0.494	0.199	765	0.132	1
hetio-ind_perm-0	CcSEcCrCpD	0.46	0.622	0.287	718	0.094	1
hetio-ind_perm-0	CcSEcCrCtD	0.932	0.731	0.44	2.25e+03	0.218	1
hetio-ind_perm-0	CcSEcCtD	0.951	0.701	0.416	507	0.028	1
hetio-ind_perm-0	CcSEcCtDrD	0.863	0.52	0.206	1.82e+03	0.189	1
hetio-ind_perm-0	CcSEcCuGaD	0.955	0.671	0.375	2.01e+04	0.847	1
hetio-ind_perm-0	CcSEcCuGdD	0.476	0.574	0.238	4.37e+04	1.58	1
hetio-ind_perm-0	CcSEcCuGuD	0.479	0.584	0.241	5.25e+04	1.88	1
hetio-ind_perm-0	CdG<rG<rGaD	0.67	0.619	0.335	2.29e+04	0.935	1
hetio-ind_perm-0	CdG<rG<rGdD	0.314	0.58	0.27	3.57e+04	1.36	1
hetio-ind_perm-0	CdG<rG<rGuD	0.327	0.593	0.278	4.3e+04	1.65	1
hetio-ind_perm-0	CdG<rGaD	0.649	0.62	0.335	264	0.037	1
hetio-ind_perm-0	CdG<rGaDrD	0.637	0.566	0.26	1.11e+03	0.0888	1
hetio-ind_perm-0	CdG<rGbCpD	0.286	0.599	0.306	33.2	0.0321	1
hetio-ind_perm-0	CdG<rGbCtD	0.61	0.643	0.355	130	0.051	1
hetio-ind_perm-0	CdG<rGcGaD	0.649	0.619	0.337	448	0.0612	1
hetio-ind_perm-0	CdG<rGcGdD	0.326	0.585	0.27	2.16e+03	0.117	1
hetio-ind_perm-0	CdG<rGcGuD	0.335	0.594	0.278	2.11e+03	0.114	1
hetio-ind_perm-0	CdG<rGdAlD	0.62	0.561	0.257	7.06e+03	0.318	1
hetio-ind_perm-0	CdG<rGdCpD	0.293	0.604	0.307	92.6	0.0331	1
hetio-ind_perm-0	CdG<rGdCtD	0.624	0.642	0.367	3.29e+03	0.169	1
hetio-ind_perm-0	CdG<rGdD	0.308	0.579	0.269	427	0.0475	1
hetio-ind_perm-0	CdG<rGdDrD	0.541	0.559	0.252	1.78e+03	0.116	1
hetio-ind_perm-0	CdG<rGeAlD	0.662	0.579	0.279	4.68e+04	1.86	1
hetio-ind_perm-0	CdG<rGiGaD	0.669	0.62	0.336	9.69e+03	0.415	1
hetio-ind_perm-0	CdG<rGiGdD	0.343	0.59	0.272	2.06e+04	0.803	1
hetio-ind_perm-0	CdG<rGiGuD	0.347	0.601	0.279	2.28e+04	0.877	1
hetio-ind_perm-0	CdG<rGr>GaD	0.67	0.62	0.334	5.26e+04	2.13	1
hetio-ind_perm-0	CdG<rGr>GdD	0.345	0.59	0.274	1.23e+05	4.57	1
hetio-ind_perm-0	CdG<rGr>GuD	0.339	0.597	0.279	1.62e+05	6.16	1
hetio-ind_perm-0	CdG<rGuAlD	0.62	0.562	0.262	7.55e+03	0.355	1
hetio-ind_perm-0	CdG<rGuCpD	0.277	0.607	0.317	70.3	0.0322	1
hetio-ind_perm-0	CdG<rGuCtD	0.618	0.644	0.368	2.84e+03	0.154	1
hetio-ind_perm-0	CdG<rGuD	0.313	0.583	0.273	512	0.0541	1
hetio-ind_perm-0	CdG<rGuDrD	0.543	0.563	0.253	2.12e+03	0.126	1
hetio-ind_perm-0	CdGaD	0.182	0.576	0.31	0.854	0.0134	1
hetio-ind_perm-0	CdGaDaGaD	0.606	0.613	0.323	975	0.0555	1
hetio-ind_perm-0	CdGaDaGdD	0.283	0.58	0.271	557	0.0364	1
hetio-ind_perm-0	CdGaDaGuD	0.291	0.586	0.277	721	0.0425	1
hetio-ind_perm-0	CdGaDdGaD	0.552	0.608	0.325	381	0.0325	1
hetio-ind_perm-0	CdGaDdGdD	0.29	0.582	0.271	1.58e+03	0.0728	1
hetio-ind_perm-0	CdGaDdGuD	0.296	0.593	0.281	1.31e+03	0.0615	1
hetio-ind_perm-0	CdGaDlAlD	0.592	0.589	0.29	201	0.0235	1
hetio-ind_perm-0	CdGaDpCpD	0.175	0.563	0.277	3.24	0.0124	1
hetio-ind_perm-0	CdGaDpCtD	0.259	0.62	0.337	4.19	0.0121	1
hetio-ind_perm-0	CdGaDpSpD	0.592	0.59	0.277	224	0.026	1
hetio-ind_perm-0	CdGaDrD	0.291	0.549	0.254	3.52	0.0131	1
hetio-ind_perm-0	CdGaDrDrD	0.5	0.575	0.276	42.7	0.0172	1
hetio-ind_perm-0	CdGaDtCpD	0.118	0.542	0.275	2.78	0.0112	1
hetio-ind_perm-0	CdGaDtCtD	0.507	0.638	0.345	51.7	0.0165	1
hetio-ind_perm-0	CdGaDuGaD	0.555	0.612	0.325	465	0.0341	1
hetio-ind_perm-0	CdGaDuGdD	0.291	0.581	0.271	1.29e+03	0.0616	1
hetio-ind_perm-0	CdGaDuGuD	0.3	0.591	0.277	1.84e+03	0.0836	1
hetio-ind_perm-0	CdGbCbGaD	0.35	0.596	0.308	18	0.015	1
hetio-ind_perm-0	CdGbCbGdD	0.16	0.553	0.274	14	0.0149	1
hetio-ind_perm-0	CdGbCbGuD	0.158	0.548	0.267	11	0.0141	1
hetio-ind_perm-0	CdGbCdGaD	0.275	0.582	0.304	10.6	0.015	1
hetio-ind_perm-0	CdGbCdGdD	0.152	0.556	0.279	29.3	0.0197	1
hetio-ind_perm-0	CdGbCdGuD	0.164	0.562	0.282	40.6	0.0197	1
hetio-ind_perm-0	CdGbCpD	0.0307	0.522	0.324	0.0572	0.0109	1
hetio-ind_perm-0	CdGbCpDrD	0.105	0.531	0.257	0.41	0.0114	1
hetio-ind_perm-0	CdGbCrCpD	0.0879	0.547	0.305	0.529	0.011	1
hetio-ind_perm-0	CdGbCrCtD	0.185	0.596	0.327	1.48	0.0112	1
hetio-ind_perm-0	CdGbCtD	0.115	0.56	0.31	0.309	0.0116	1
hetio-ind_perm-0	CdGbCtDrD	0.172	0.554	0.265	1.04	0.0119	1
hetio-ind_perm-0	CdGbCuGaD	0.279	0.579	0.304	13.2	0.0158	1
hetio-ind_perm-0	CdGbCuGdD	0.155	0.558	0.281	27.7	0.018	1
hetio-ind_perm-0	CdGbCuGuD	0.154	0.552	0.274	33.9	0.0189	1
hetio-ind_perm-0	CdGcG<rGaD	0.543	0.605	0.317	181	0.0377	1
hetio-ind_perm-0	CdGcG<rGdD	0.254	0.569	0.272	264	0.0447	1
hetio-ind_perm-0	CdGcG<rGuD	0.266	0.58	0.279	319	0.0519	1
hetio-ind_perm-0	CdGcGaD	0.242	0.591	0.321	2.5	0.0146	1
hetio-ind_perm-0	CdGcGaDrD	0.355	0.554	0.258	10.2	0.0164	1
hetio-ind_perm-0	CdGcGbCpD	0.0866	0.553	0.323	0.525	0.0129	1
hetio-ind_perm-0	CdGcGbCtD	0.205	0.59	0.316	2.11	0.0146	1
hetio-ind_perm-0	CdGcGcGaD	0.568	0.619	0.33	159	0.0255	1
hetio-ind_perm-0	CdGcGcGdD	0.288	0.581	0.276	720	0.0503	1
hetio-ind_perm-0	CdGcGcGuD	0.303	0.591	0.282	694	0.0484	1
hetio-ind_perm-0	CdGcGdAlD	0.56	0.571	0.262	198	0.0405	1
hetio-ind_perm-0	CdGcGdCpD	0.0858	0.549	0.32	0.575	0.0125	1
hetio-ind_perm-0	CdGcGdCtD	0.391	0.628	0.354	26.6	0.0187	1
hetio-ind_perm-0	CdGcGdD	0.186	0.554	0.269	11.6	0.0237	1
hetio-ind_perm-0	CdGcGdDrD	0.405	0.56	0.261	48	0.0225	1
hetio-ind_perm-0	CdGcGeAlD	0.63	0.586	0.284	1.08e+03	0.151	1
hetio-ind_perm-0	CdGcGiGaD	0.546	0.612	0.327	125	0.0317	1
hetio-ind_perm-0	CdGcGiGdD	0.276	0.584	0.28	230	0.0402	1
hetio-ind_perm-0	CdGcGiGuD	0.277	0.581	0.279	256	0.0422	1
hetio-ind_perm-0	CdGcGr>GaD	0.522	0.609	0.324	122	0.0311	1
hetio-ind_perm-0	CdGcGr>GdD	0.261	0.581	0.278	259	0.0454	1
hetio-ind_perm-0	CdGcGr>GuD	0.271	0.588	0.284	353	0.0567	1
hetio-ind_perm-0	CdGcGuAlD	0.558	0.57	0.266	190	0.0384	1
hetio-ind_perm-0	CdGcGuCpD	0.0776	0.547	0.317	0.602	0.0129	1
hetio-ind_perm-0	CdGcGuCtD	0.368	0.628	0.356	24.8	0.0185	1
hetio-ind_perm-0	CdGcGuD	0.185	0.564	0.281	11.3	0.0236	1
hetio-ind_perm-0	CdGcGuDrD	0.415	0.558	0.257	48	0.023	1
hetio-ind_perm-0	CdGdAdGaD	0.664	0.616	0.329	1.3e+04	0.497	1
hetio-ind_perm-0	CdGdAdGdD	0.341	0.589	0.274	4.77e+04	1.72	1
hetio-ind_perm-0	CdGdAdGuD	0.346	0.603	0.282	4.78e+04	1.71	1
hetio-ind_perm-0	CdGdAeGaD	0.664	0.615	0.328	3.61e+04	1.34	1
hetio-ind_perm-0	CdGdAeGdD	0.342	0.589	0.274	1.3e+05	4.71	1
hetio-ind_perm-0	CdGdAeGuD	0.346	0.603	0.282	1.38e+05	4.96	1
hetio-ind_perm-0	CdGdAlD	0.517	0.56	0.256	36.8	0.0312	1
hetio-ind_perm-0	CdGdAlDrD	0.618	0.572	0.268	315	0.0255	1
hetio-ind_perm-0	CdGdAuGaD	0.664	0.616	0.328	1.17e+04	0.453	1
hetio-ind_perm-0	CdGdAuGdD	0.342	0.589	0.273	4.18e+04	1.59	1
hetio-ind_perm-0	CdGdAuGuD	0.346	0.603	0.282	4.55e+04	1.71	1
hetio-ind_perm-0	CdGdCbGaD	0.653	0.621	0.33	881	0.0525	1
hetio-ind_perm-0	CdGdCbGdD	0.293	0.579	0.271	672	0.0413	1
hetio-ind_perm-0	CdGdCbGuD	0.305	0.587	0.276	551	0.0368	1
hetio-ind_perm-0	CdGdCdGaD	0.67	0.622	0.336	7.81e+03	0.309	1
hetio-ind_perm-0	CdGdCdGdD	0.333	0.584	0.269	2.32e+04	0.887	1
hetio-ind_perm-0	CdGdCdGuD	0.339	0.596	0.277	3.13e+04	1.16	1
hetio-ind_perm-0	CdGdCpD	0.168	0.583	0.327	1.65	0.0113	1
hetio-ind_perm-0	CdGdCpDrD	0.359	0.533	0.234	10.6	0.0178	1
hetio-ind_perm-0	CdGdCrCpD	0.268	0.607	0.325	24.7	0.0174	1
hetio-ind_perm-0	CdGdCrCtD	0.531	0.658	0.361	74.8	0.0233	1
hetio-ind_perm-0	CdGdCtD	0.537	0.631	0.332	45	0.0164	1
hetio-ind_perm-0	CdGdCtDrD	0.572	0.568	0.259	172	0.0256	1
hetio-ind_perm-0	CdGdCuGaD	0.67	0.623	0.338	9.42e+03	0.363	1
hetio-ind_perm-0	CdGdCuGdD	0.336	0.589	0.273	2.2e+04	0.808	1
hetio-ind_perm-0	CdGdCuGuD	0.338	0.597	0.279	2.66e+04	0.97	1
hetio-ind_perm-0	CdGdD	0.139	0.542	0.266	2.39	0.0141	1
hetio-ind_perm-0	CdGdDaGaD	0.663	0.612	0.32	2.03e+03	0.0971	1
hetio-ind_perm-0	CdGdDaGdD	0.314	0.582	0.274	1.15e+03	0.0578	1
hetio-ind_perm-0	CdGdDaGuD	0.32	0.593	0.278	1.46e+03	0.067	1
hetio-ind_perm-0	CdGdDdGaD	0.664	0.618	0.33	5.27e+03	0.211	1
hetio-ind_perm-0	CdGdDdGdD	0.34	0.59	0.276	2.14e+04	0.81	1
hetio-ind_perm-0	CdGdDdGuD	0.346	0.602	0.282	1.86e+04	0.697	1
hetio-ind_perm-0	CdGdDlAlD	0.65	0.586	0.285	392	0.0303	1
hetio-ind_perm-0	CdGdDpCpD	0.211	0.58	0.292	8.63	0.0119	1
hetio-ind_perm-0	CdGdDpCtD	0.321	0.63	0.322	17.8	0.0141	1
hetio-ind_perm-0	CdGdDpSpD	0.651	0.591	0.282	490	0.0373	1
hetio-ind_perm-0	CdGdDrD	0.338	0.552	0.255	10.1	0.0189	1
hetio-ind_perm-0	CdGdDrDrD	0.591	0.565	0.265	115	0.0196	1
hetio-ind_perm-0	CdGdDtCpD	0.133	0.537	0.267	7.63	0.0124	1
hetio-ind_perm-0	CdGdDtCtD	0.57	0.64	0.35	120	0.0192	1
hetio-ind_perm-0	CdGdDuGaD	0.664	0.619	0.329	6.41e+03	0.247	1
hetio-ind_perm-0	CdGdDuGdD	0.34	0.591	0.274	1.81e+04	0.678	1
hetio-ind_perm-0	CdGdDuGuD	0.346	0.603	0.283	2.47e+04	0.903	1
hetio-ind_perm-0	CdGeAdGaD	0.67	0.619	0.33	4.63e+04	1.67	1
hetio-ind_perm-0	CdGeAdGdD	0.345	0.59	0.274	1.68e+05	6	1
hetio-ind_perm-0	CdGeAdGuD	0.349	0.603	0.282	1.68e+05	5.62	1
hetio-ind_perm-0	CdGeAeGaD	0.67	0.619	0.329	2.3e+05	8.36	1
hetio-ind_perm-0	CdGeAeGdD	0.346	0.591	0.273	8.14e+05	29.1	1
hetio-ind_perm-0	CdGeAeGuD	0.349	0.603	0.282	8.63e+05	30.5	1
hetio-ind_perm-0	CdGeAlD	0.655	0.581	0.28	270	0.116	1
hetio-ind_perm-0	CdGeAlDrD	0.646	0.574	0.268	2.32e+03	0.102	1
hetio-ind_perm-0	CdGeAuGaD	0.67	0.619	0.329	4.57e+04	1.73	1
hetio-ind_perm-0	CdGeAuGdD	0.346	0.59	0.273	1.62e+05	5.95	1
hetio-ind_perm-0	CdGeAuGuD	0.349	0.603	0.282	1.77e+05	6.35	1
hetio-ind_perm-0	CdGiG<rGaD	0.659	0.621	0.329	2.31e+03	0.118	1
hetio-ind_perm-0	CdGiG<rGdD	0.31	0.581	0.273	3.36e+03	0.162	1
hetio-ind_perm-0	CdGiG<rGuD	0.321	0.592	0.279	4.06e+03	0.191	1
hetio-ind_perm-0	CdGiGaD	0.518	0.622	0.328	43.3	0.0264	1
hetio-ind_perm-0	CdGiGaDrD	0.582	0.57	0.264	187	0.0294	1
hetio-ind_perm-0	CdGiGbCpD	0.188	0.569	0.295	5.33	0.0172	1
hetio-ind_perm-0	CdGiGbCtD	0.438	0.631	0.336	24.3	0.0236	1
hetio-ind_perm-0	CdGiGcGaD	0.546	0.621	0.331	102	0.0274	1
hetio-ind_perm-0	CdGiGcGdD	0.296	0.58	0.273	465	0.0413	1
hetio-ind_perm-0	CdGiGcGuD	0.299	0.586	0.278	455	0.041	1
hetio-ind_perm-0	CdGiGdAlD	0.613	0.569	0.261	1.41e+03	0.0861	1
hetio-ind_perm-0	CdGiGdCpD	0.199	0.59	0.314	8.63	0.0171	1
hetio-ind_perm-0	CdGiGdCtD	0.57	0.645	0.36	395	0.0381	1
hetio-ind_perm-0	CdGiGdD	0.271	0.578	0.276	85.1	0.0348	1
hetio-ind_perm-0	CdGiGdDrD	0.51	0.565	0.256	366	0.0394	1
hetio-ind_perm-0	CdGiGeAlD	0.662	0.586	0.282	9.63e+03	0.46	1
hetio-ind_perm-0	CdGiGiGaD	0.669	0.621	0.33	9.39e+03	0.369	1
hetio-ind_perm-0	CdGiGiGdD	0.343	0.589	0.275	2.38e+04	0.886	1
hetio-ind_perm-0	CdGiGiGuD	0.349	0.603	0.282	2.63e+04	0.973	1
hetio-ind_perm-0	CdGiGr>GaD	0.665	0.619	0.329	2.44e+03	0.12	1
hetio-ind_perm-0	CdGiGr>GdD	0.332	0.588	0.276	5.22e+03	0.229	1
hetio-ind_perm-0	CdGiGr>GuD	0.336	0.599	0.282	6.96e+03	0.297	1
hetio-ind_perm-0	CdGiGuAlD	0.615	0.57	0.267	1.47e+03	0.0872	1
hetio-ind_perm-0	CdGiGuCpD	0.168	0.574	0.308	6.29	0.018	1
hetio-ind_perm-0	CdGiGuCtD	0.549	0.648	0.361	285	0.0345	1
hetio-ind_perm-0	CdGiGuD	0.271	0.574	0.273	94.1	0.0349	1
hetio-ind_perm-0	CdGiGuDrD	0.511	0.567	0.258	404	0.0396	1
hetio-ind_perm-0	CdGpBPpGaD	0.663	0.62	0.329	2.33e+04	0.906	1
hetio-ind_perm-0	CdGpBPpGdD	0.335	0.589	0.274	3.11e+04	1.2	1
hetio-ind_perm-0	CdGpBPpGuD	0.346	0.603	0.281	3.62e+04	1.39	1
hetio-ind_perm-0	CdGpCCpGaD	0.65	0.618	0.33	1.95e+03	0.0868	1
hetio-ind_perm-0	CdGpCCpGdD	0.318	0.585	0.274	4.44e+03	0.175	1
hetio-ind_perm-0	CdGpCCpGuD	0.336	0.6	0.282	5e+03	0.197	1
hetio-ind_perm-0	CdGpMFpGaD	0.653	0.62	0.33	2.12e+03	0.0992	1
hetio-ind_perm-0	CdGpMFpGdD	0.326	0.59	0.277	4.61e+03	0.197	1
hetio-ind_perm-0	CdGpMFpGuD	0.336	0.602	0.283	4.92e+03	0.207	1
hetio-ind_perm-0	CdGpPWpGaD	0.637	0.616	0.328	2.19e+03	0.101	1
hetio-ind_perm-0	CdGpPWpGdD	0.314	0.587	0.273	2.49e+03	0.108	1
hetio-ind_perm-0	CdGpPWpGuD	0.318	0.595	0.279	3.14e+03	0.134	1
hetio-ind_perm-0	CdGr>G<rGaD	0.651	0.619	0.331	2.91e+04	1.21	1
hetio-ind_perm-0	CdGr>G<rGdD	0.316	0.585	0.271	4.73e+04	1.92	1
hetio-ind_perm-0	CdGr>G<rGuD	0.319	0.593	0.279	5.65e+04	2.26	1
hetio-ind_perm-0	CdGr>GaD	0.562	0.624	0.333	92.6	0.0283	1
hetio-ind_perm-0	CdGr>GaDrD	0.598	0.57	0.263	392	0.0476	1
hetio-ind_perm-0	CdGr>GbCpD	0.223	0.582	0.297	9.19	0.0233	1
hetio-ind_perm-0	CdGr>GbCtD	0.508	0.633	0.339	44.8	0.0326	1
hetio-ind_perm-0	CdGr>GcGaD	0.59	0.621	0.332	225	0.0403	1
hetio-ind_perm-0	CdGr>GcGdD	0.305	0.584	0.272	1.05e+03	0.071	1
hetio-ind_perm-0	CdGr>GcGuD	0.313	0.588	0.277	1.01e+03	0.0683	1
hetio-ind_perm-0	CdGr>GdAlD	0.602	0.568	0.261	3.55e+03	0.183	1
hetio-ind_perm-0	CdGr>GdCpD	0.287	0.612	0.324	105	0.0254	1
hetio-ind_perm-0	CdGr>GdCtD	0.614	0.638	0.365	3.21e+03	0.155	1
hetio-ind_perm-0	CdGr>GdD	0.293	0.58	0.272	207	0.041	1
hetio-ind_perm-0	CdGr>GdDrD	0.517	0.564	0.257	865	0.0672	1
hetio-ind_perm-0	CdGr>GeAlD	0.643	0.585	0.283	2.34e+04	1.04	1
hetio-ind_perm-0	CdGr>GiGaD	0.649	0.618	0.332	3.21e+03	0.163	1
hetio-ind_perm-0	CdGr>GiGdD	0.33	0.587	0.272	6.37e+03	0.292	1
hetio-ind_perm-0	CdGr>GiGuD	0.332	0.597	0.28	7.07e+03	0.313	1
hetio-ind_perm-0	CdGr>Gr>GaD	0.651	0.619	0.332	7.92e+03	0.362	1
hetio-ind_perm-0	CdGr>Gr>GdD	0.329	0.588	0.273	1.76e+04	0.757	1
hetio-ind_perm-0	CdGr>Gr>GuD	0.33	0.596	0.28	2.36e+04	0.977	1
hetio-ind_perm-0	CdGr>GuAlD	0.601	0.569	0.266	3.59e+03	0.188	1
hetio-ind_perm-0	CdGr>GuCpD	0.261	0.607	0.319	64.9	0.0242	1
hetio-ind_perm-0	CdGr>GuCtD	0.598	0.643	0.365	2.2e+03	0.115	1
hetio-ind_perm-0	CdGr>GuD	0.3	0.583	0.275	276	0.0508	1
hetio-ind_perm-0	CdGr>GuDrD	0.524	0.567	0.259	1.14e+03	0.0764	1
hetio-ind_perm-0	CdGrPBrGaD	0.67	0.621	0.331	1.66e+04	0.651	1
hetio-ind_perm-0	CdGrPBrGdD	0.346	0.59	0.273	3.71e+04	1.43	1
hetio-ind_perm-0	CdGrPBrGuD	0.349	0.603	0.281	4.59e+04	1.77	1
hetio-ind_perm-0	CdGuAdGaD	0.665	0.617	0.329	1.26e+04	0.519	1
hetio-ind_perm-0	CdGuAdGdD	0.342	0.589	0.274	4.58e+04	1.85	1
hetio-ind_perm-0	CdGuAdGuD	0.347	0.603	0.282	4.58e+04	1.82	1
hetio-ind_perm-0	CdGuAeGaD	0.665	0.617	0.328	3.89e+04	1.47	1
hetio-ind_perm-0	CdGuAeGdD	0.343	0.589	0.273	1.4e+05	5.23	1
hetio-ind_perm-0	CdGuAeGuD	0.348	0.603	0.282	1.49e+05	5.49	1
hetio-ind_perm-0	CdGuAlD	0.526	0.563	0.261	38.8	0.0308	1
hetio-ind_perm-0	CdGuAlDrD	0.624	0.575	0.269	329	0.0277	1
hetio-ind_perm-0	CdGuAuGaD	0.665	0.617	0.328	1.24e+04	0.511	1
hetio-ind_perm-0	CdGuAuGdD	0.343	0.59	0.274	4.4e+04	1.71	1
hetio-ind_perm-0	CdGuAuGuD	0.348	0.603	0.282	4.78e+04	1.93	1
hetio-ind_perm-0	CdGuCbGaD	0.585	0.613	0.317	199	0.0248	1
hetio-ind_perm-0	CdGuCbGdD	0.253	0.567	0.268	152	0.023	1
hetio-ind_perm-0	CdGuCbGuD	0.254	0.569	0.271	126	0.022	1
hetio-ind_perm-0	CdGuCdGaD	0.635	0.614	0.326	2.08e+03	0.095	1
hetio-ind_perm-0	CdGuCdGdD	0.311	0.583	0.27	6.19e+03	0.246	1
hetio-ind_perm-0	CdGuCdGuD	0.323	0.593	0.277	8.35e+03	0.326	1
hetio-ind_perm-0	CdGuCpD	0.0662	0.539	0.313	0.292	0.0115	1
hetio-ind_perm-0	CdGuCpDrD	0.179	0.524	0.236	2.09	0.0128	1
hetio-ind_perm-0	CdGuCrCpD	0.166	0.579	0.317	4.61	0.0125	1
hetio-ind_perm-0	CdGuCrCtD	0.357	0.633	0.344	14.8	0.0156	1
hetio-ind_perm-0	CdGuCtD	0.373	0.628	0.353	13	0.015	1
hetio-ind_perm-0	CdGuCtDrD	0.466	0.565	0.266	46.4	0.017	1
hetio-ind_perm-0	CdGuCuGaD	0.636	0.615	0.328	2.64e+03	0.117	1
hetio-ind_perm-0	CdGuCuGdD	0.316	0.587	0.274	6.23e+03	0.25	1
hetio-ind_perm-0	CdGuCuGuD	0.321	0.594	0.28	7.53e+03	0.298	1
hetio-ind_perm-0	CdGuD	0.168	0.555	0.275	3.31	0.0132	1
hetio-ind_perm-0	CdGuDaGaD	0.67	0.614	0.323	2.71e+03	0.119	1
hetio-ind_perm-0	CdGuDaGdD	0.317	0.582	0.273	1.53e+03	0.0721	1
hetio-ind_perm-0	CdGuDaGuD	0.324	0.593	0.278	1.96e+03	0.0893	1
hetio-ind_perm-0	CdGuDdGaD	0.669	0.619	0.33	6.74e+03	0.274	1
hetio-ind_perm-0	CdGuDdGdD	0.343	0.59	0.274	2.75e+04	1.08	1
hetio-ind_perm-0	CdGuDdGuD	0.349	0.603	0.282	2.38e+04	0.942	1
hetio-ind_perm-0	CdGuDlAlD	0.657	0.587	0.287	526	0.0363	1
hetio-ind_perm-0	CdGuDpCpD	0.22	0.584	0.292	11.1	0.0122	1
hetio-ind_perm-0	CdGuDpCtD	0.328	0.644	0.335	22.9	0.0145	1
hetio-ind_perm-0	CdGuDpSpD	0.655	0.593	0.283	639	0.0431	1
hetio-ind_perm-0	CdGuDrD	0.384	0.566	0.261	13.6	0.0203	1
hetio-ind_perm-0	CdGuDrDrD	0.601	0.566	0.264	154	0.0222	1
hetio-ind_perm-0	CdGuDtCpD	0.144	0.54	0.267	9.83	0.0124	1
hetio-ind_perm-0	CdGuDtCtD	0.594	0.641	0.353	167	0.0232	1
hetio-ind_perm-0	CdGuDuGaD	0.67	0.619	0.329	8.45e+03	0.348	1
hetio-ind_perm-0	CdGuDuGdD	0.343	0.59	0.272	2.38e+04	0.954	1
hetio-ind_perm-0	CdGuDuGuD	0.349	0.603	0.282	3.26e+04	1.28	1
hetio-ind_perm-0	CpDaG<rGaD	0.154	0.529	0.254	46.6	0.02	1
hetio-ind_perm-0	CpDaG<rGdD	0.0731	0.525	0.261	76.4	0.0229	1
hetio-ind_perm-0	CpDaG<rGuD	0.0747	0.53	0.27	89	0.024	1
hetio-ind_perm-0	CpDaGaD	0.142	0.531	0.257	3.02	0.0119	1
hetio-ind_perm-0	CpDaGaDrD	0.148	0.525	0.232	14	0.013	1
hetio-ind_perm-0	CpDaGbCpD	0.0562	0.525	0.278	0.514	0.0108	1
hetio-ind_perm-0	CpDaGbCtD	0.128	0.537	0.277	2.44	0.011	1
hetio-ind_perm-0	CpDaGcGaD	0.123	0.532	0.266	1.72	0.0121	1
hetio-ind_perm-0	CpDaGcGdD	0.0782	0.532	0.289	8.38	0.0169	1
hetio-ind_perm-0	CpDaGdD	0.0601	0.519	0.255	1.73	0.0124	1
hetio-ind_perm-0	CpDaGuD	0.0615	0.519	0.254	2.21	0.0127	1
hetio-ind_perm-0	CpDdGaD	0.085	0.526	0.269	1.7	0.0117	1
hetio-ind_perm-0	CpDdGdD	0.0514	0.521	0.274	8.73	0.0155	1
hetio-ind_perm-0	CpDdGuD	0.0482	0.524	0.287	6.72	0.014	1
hetio-ind_perm-0	CpDlAlD	0.137	0.524	0.241	1.1	0.0116	1
hetio-ind_perm-0	CpDpCpD	0.0305	0.513	0.275	0.058	0.0116	1
hetio-ind_perm-0	CpDpCtD	0.0379	0.52	0.29	0.0638	0.0114	1
hetio-ind_perm-0	CpDpSpD	0.142	0.528	0.242	1.48	0.0121	1
hetio-ind_perm-0	CpDrD	0.0106	0.499	0.19	0.0111	0.0113	1
hetio-ind_perm-0	CpDrDrD	0.0792	0.517	0.239	0.185	0.0119	1
hetio-ind_perm-0	CpDtCpD	0.00556	0.5	0.195	0.00583	0.0115	1
hetio-ind_perm-0	CpDtCtD	0.0623	0.527	0.282	0.149	0.0111	1
hetio-ind_perm-0	CpDuGaD	0.0874	0.53	0.274	2.02	0.0119	1
hetio-ind_perm-0	CpDuGdD	0.0453	0.521	0.283	7.14	0.0138	1
hetio-ind_perm-0	CpDuGuD	0.0464	0.522	0.282	9.48	0.0159	1
