metapath	metaedge	metaedge_abbrev
CbGuCdGaD	Compound - upregulates - Gene	CuG
CbGuCdGaD	Compound - downregulates - Gene	CdG
CbGuCdGaD	Disease - associates - Gene	DaG
CbGuCdGdD	Compound - binds - Gene	CbG
CbGuCdGdD	Compound - upregulates - Gene	CuG
CbGuCdGdD	Compound - downregulates - Gene	CdG
CbGuCdGdD	Disease - downregulates - Gene	DdG
CbGuCdGuD	Compound - binds - Gene	CbG
CbGuCdGuD	Compound - upregulates - Gene	CuG
CbGuCdGuD	Compound - downregulates - Gene	CdG
CbGuCdGuD	Disease - upregulates - Gene	DuG
CbGuCpDrD	Compound - binds - Gene	CbG
CbGuCpDrD	Compound - upregulates - Gene	CuG
CbGuCpDrD	Compound - palliates - Disease	CpD
CbGuCpDrD	Disease - resembles - Disease	DrD
CbGuCrCpD	Compound - binds - Gene	CbG
CbGuCrCpD	Compound - upregulates - Gene	CuG
CbGuCrCpD	Compound - resembles - Compound	CrC
CbGuCrCpD	Compound - palliates - Disease	CpD
CbGuCrCtD	Compound - binds - Gene	CbG
CbGuCrCtD	Compound - upregulates - Gene	CuG
CbGuCrCtD	Compound - resembles - Compound	CrC
CbGuCrCtD	Compound - treats - Disease	CtD
CbGuCtDrD	Compound - binds - Gene	CbG
CbGuCtDrD	Compound - upregulates - Gene	CuG
CbGuCtDrD	Compound - treats - Disease	CtD
CbGuCtDrD	Disease - resembles - Disease	DrD
CbGuCuGaD	Compound - binds - Gene	CbG
CbGuCuGaD	Compound - upregulates - Gene	CuG
CbGuCuGaD	Compound - upregulates - Gene	CuG
CbGuCuGaD	Disease - associates - Gene	DaG
CbGuCuGdD	Compound - binds - Gene	CbG
CbGuCuGdD	Compound - upregulates - Gene	CuG
CbGuCuGdD	Compound - upregulates - Gene	CuG
CbGuCuGdD	Disease - downregulates - Gene	DdG
CbGuCuGuD	Compound - binds - Gene	CbG
CbGuCuGuD	Compound - upregulates - Gene	CuG
CbGuCuGuD	Compound - upregulates - Gene	CuG
CbGuCuGuD	Disease - upregulates - Gene	DuG
CbGuDaGaD	Compound - binds - Gene	CbG
CbGuDaGaD	Disease - upregulates - Gene	DuG
CbGuDaGaD	Disease - associates - Gene	DaG
CbGuDaGaD	Disease - associates - Gene	DaG
CbGuDaGdD	Compound - binds - Gene	CbG
CbGuDaGdD	Disease - upregulates - Gene	DuG
CbGuDaGdD	Disease - associates - Gene	DaG
CbGuDaGdD	Disease - downregulates - Gene	DdG
CbGuDaGuD	Compound - binds - Gene	CbG
CbGuDaGuD	Disease - upregulates - Gene	DuG
CbGuDaGuD	Disease - associates - Gene	DaG
CbGuDaGuD	Disease - upregulates - Gene	DuG
CbGuDdGaD	Compound - binds - Gene	CbG
CbGuDdGaD	Disease - upregulates - Gene	DuG
CbGuDdGaD	Disease - downregulates - Gene	DdG
CbGuDdGaD	Disease - associates - Gene	DaG
CbGuDdGdD	Compound - binds - Gene	CbG
CbGuDdGdD	Disease - upregulates - Gene	DuG
CbGuDdGdD	Disease - downregulates - Gene	DdG
CbGuDdGdD	Disease - downregulates - Gene	DdG
CbGuDdGuD	Compound - binds - Gene	CbG
CbGuDdGuD	Disease - upregulates - Gene	DuG
CbGuDdGuD	Disease - downregulates - Gene	DdG
CbGuDdGuD	Disease - upregulates - Gene	DuG
CbGuDlAlD	Compound - binds - Gene	CbG
CbGuDlAlD	Disease - upregulates - Gene	DuG
CbGuDlAlD	Disease - localizes - Anatomy	DlA
CbGuDlAlD	Disease - localizes - Anatomy	DlA
CbGuDpCpD	Compound - binds - Gene	CbG
CbGuDpCpD	Disease - upregulates - Gene	DuG
CbGuDpCpD	Compound - palliates - Disease	CpD
CbGuDpCpD	Compound - palliates - Disease	CpD
CbGuDpCtD	Compound - binds - Gene	CbG
CbGuDpCtD	Disease - upregulates - Gene	DuG
CbGuDpCtD	Compound - palliates - Disease	CpD
CbGuDpCtD	Compound - treats - Disease	CtD
CbGuDpSpD	Compound - binds - Gene	CbG
CbGuDpSpD	Disease - upregulates - Gene	DuG
CbGuDpSpD	Disease - presents - Symptom	DpS
CbGuDpSpD	Disease - presents - Symptom	DpS
CbGuDrDrD	Compound - binds - Gene	CbG
CbGuDrDrD	Disease - upregulates - Gene	DuG
CbGuDrDrD	Disease - resembles - Disease	DrD
CbGuDrDrD	Disease - resembles - Disease	DrD
CbGuDtCpD	Compound - binds - Gene	CbG
CbGuDtCpD	Disease - upregulates - Gene	DuG
CbGuDtCpD	Compound - treats - Disease	CtD
CbGuDtCpD	Compound - palliates - Disease	CpD
CbGuDtCtD	Compound - binds - Gene	CbG
CbGuDtCtD	Disease - upregulates - Gene	DuG
CbGuDtCtD	Compound - treats - Disease	CtD
CbGuDtCtD	Compound - treats - Disease	CtD
CbGuDuGaD	Compound - binds - Gene	CbG
CbGuDuGaD	Disease - upregulates - Gene	DuG
CbGuDuGaD	Disease - upregulates - Gene	DuG
CbGuDuGaD	Disease - associates - Gene	DaG
CbGuDuGdD	Compound - binds - Gene	CbG
CbGuDuGdD	Disease - upregulates - Gene	DuG
CbGuDuGdD	Disease - upregulates - Gene	DuG
CbGuDuGdD	Disease - downregulates - Gene	DdG
CbGuDuGuD	Compound - binds - Gene	CbG
CbGuDuGuD	Disease - upregulates - Gene	DuG
CbGuDuGuD	Disease - upregulates - Gene	DuG
CbGuDuGuD	Disease - upregulates - Gene	DuG
CcSEcCbGaD	Compound - causes - Side Effect	CcSE
CcSEcCbGaD	Compound - causes - Side Effect	CcSE
CcSEcCbGaD	Compound - binds - Gene	CbG
CcSEcCbGaD	Disease - associates - Gene	DaG
CcSEcCbGdD	Compound - causes - Side Effect	CcSE
CcSEcCbGdD	Compound - causes - Side Effect	CcSE
CcSEcCbGdD	Compound - binds - Gene	CbG
CcSEcCbGdD	Disease - downregulates - Gene	DdG
CcSEcCbGuD	Compound - causes - Side Effect	CcSE
CcSEcCbGuD	Compound - causes - Side Effect	CcSE
CcSEcCbGuD	Compound - binds - Gene	CbG
CcSEcCbGuD	Disease - upregulates - Gene	DuG
CcSEcCdGaD	Compound - causes - Side Effect	CcSE
CcSEcCdGaD	Compound - causes - Side Effect	CcSE
CcSEcCdGaD	Compound - downregulates - Gene	CdG
CcSEcCdGaD	Disease - associates - Gene	DaG
CcSEcCdGdD	Compound - causes - Side Effect	CcSE
CcSEcCdGdD	Compound - causes - Side Effect	CcSE
CcSEcCdGdD	Compound - downregulates - Gene	CdG
CcSEcCdGdD	Disease - downregulates - Gene	DdG
CcSEcCdGuD	Compound - causes - Side Effect	CcSE
CcSEcCdGuD	Compound - causes - Side Effect	CcSE
CcSEcCdGuD	Compound - downregulates - Gene	CdG
CcSEcCdGuD	Disease - upregulates - Gene	DuG
CcSEcCpDrD	Compound - causes - Side Effect	CcSE
CcSEcCpDrD	Compound - causes - Side Effect	CcSE
CcSEcCpDrD	Compound - palliates - Disease	CpD
CcSEcCpDrD	Disease - resembles - Disease	DrD
CcSEcCrCpD	Compound - causes - Side Effect	CcSE
CcSEcCrCpD	Compound - causes - Side Effect	CcSE
CcSEcCrCpD	Compound - resembles - Compound	CrC
CcSEcCrCpD	Compound - palliates - Disease	CpD
CcSEcCrCtD	Compound - causes - Side Effect	CcSE
CcSEcCrCtD	Compound - causes - Side Effect	CcSE
CcSEcCrCtD	Compound - resembles - Compound	CrC
CcSEcCrCtD	Compound - treats - Disease	CtD
CcSEcCtDrD	Compound - causes - Side Effect	CcSE
CcSEcCtDrD	Compound - causes - Side Effect	CcSE
CcSEcCtDrD	Compound - treats - Disease	CtD
CcSEcCtDrD	Disease - resembles - Disease	DrD
CcSEcCuGaD	Compound - causes - Side Effect	CcSE
CcSEcCuGaD	Compound - causes - Side Effect	CcSE
CcSEcCuGaD	Compound - upregulates - Gene	CuG
CcSEcCuGaD	Disease - associates - Gene	DaG
CcSEcCuGdD	Compound - causes - Side Effect	CcSE
CcSEcCuGdD	Compound - causes - Side Effect	CcSE
CcSEcCuGdD	Compound - upregulates - Gene	CuG
CcSEcCuGdD	Disease - downregulates - Gene	DdG
CcSEcCuGuD	Compound - causes - Side Effect	CcSE
CcSEcCuGuD	Compound - causes - Side Effect	CcSE
CcSEcCuGuD	Compound - upregulates - Gene	CuG
CcSEcCuGuD	Disease - upregulates - Gene	DuG
CdG<rG<rGaD	Compound - downregulates - Gene	CdG
CdG<rG<rGaD	Gene > regulates > Gene	GrG
CdG<rG<rGaD	Gene > regulates > Gene	GrG
CdG<rG<rGaD	Disease - associates - Gene	DaG
CdG<rG<rGdD	Compound - downregulates - Gene	CdG
CdG<rG<rGdD	Gene > regulates > Gene	GrG
CdG<rG<rGdD	Gene > regulates > Gene	GrG
CdG<rG<rGdD	Disease - downregulates - Gene	DdG
CdG<rG<rGuD	Compound - downregulates - Gene	CdG
CdG<rG<rGuD	Gene > regulates > Gene	GrG
CdG<rG<rGuD	Gene > regulates > Gene	GrG
CdG<rG<rGuD	Disease - upregulates - Gene	DuG
CdG<rGaDrD	Compound - downregulates - Gene	CdG
CdG<rGaDrD	Gene > regulates > Gene	GrG
CdG<rGaDrD	Disease - associates - Gene	DaG
CdG<rGaDrD	Disease - resembles - Disease	DrD
CdG<rGbCpD	Compound - downregulates - Gene	CdG
CdG<rGbCpD	Gene > regulates > Gene	GrG
CdG<rGbCpD	Compound - binds - Gene	CbG
CdG<rGbCpD	Compound - palliates - Disease	CpD
CdG<rGbCtD	Compound - downregulates - Gene	CdG
CdG<rGbCtD	Gene > regulates > Gene	GrG
CdG<rGbCtD	Compound - binds - Gene	CbG
CdG<rGbCtD	Compound - treats - Disease	CtD
CdG<rGcGaD	Compound - downregulates - Gene	CdG
CdG<rGcGaD	Gene > regulates > Gene	GrG
CdG<rGcGaD	Gene - covaries - Gene	GcG
CdG<rGcGaD	Disease - associates - Gene	DaG
CdG<rGcGdD	Compound - downregulates - Gene	CdG
CdG<rGcGdD	Gene > regulates > Gene	GrG
CdG<rGcGdD	Gene - covaries - Gene	GcG
CdG<rGcGdD	Disease - downregulates - Gene	DdG
CdG<rGcGuD	Compound - downregulates - Gene	CdG
CdG<rGcGuD	Gene > regulates > Gene	GrG
CdG<rGcGuD	Gene - covaries - Gene	GcG
CdG<rGcGuD	Disease - upregulates - Gene	DuG
CdG<rGdAlD	Compound - downregulates - Gene	CdG
CdG<rGdAlD	Gene > regulates > Gene	GrG
CdG<rGdAlD	Anatomy - downregulates - Gene	AdG
CdG<rGdAlD	Disease - localizes - Anatomy	DlA
CdG<rGdCpD	Compound - downregulates - Gene	CdG
CdG<rGdCpD	Gene > regulates > Gene	GrG
CdG<rGdCpD	Compound - downregulates - Gene	CdG
CdG<rGdCpD	Compound - palliates - Disease	CpD
CdG<rGdCtD	Compound - downregulates - Gene	CdG
CdG<rGdCtD	Gene > regulates > Gene	GrG
CdG<rGdCtD	Compound - downregulates - Gene	CdG
CdG<rGdCtD	Compound - treats - Disease	CtD
CdG<rGdDrD	Compound - downregulates - Gene	CdG
CdG<rGdDrD	Gene > regulates > Gene	GrG
CdG<rGdDrD	Disease - downregulates - Gene	DdG
CdG<rGdDrD	Disease - resembles - Disease	DrD
CdG<rGeAlD	Compound - downregulates - Gene	CdG
CdG<rGeAlD	Gene > regulates > Gene	GrG
CdG<rGeAlD	Anatomy - expresses - Gene	AeG
CdG<rGeAlD	Disease - localizes - Anatomy	DlA
CdG<rGiGaD	Compound - downregulates - Gene	CdG
CdG<rGiGaD	Gene > regulates > Gene	GrG
CdG<rGiGaD	Gene - interacts - Gene	GiG
CdG<rGiGaD	Disease - associates - Gene	DaG
CdG<rGiGdD	Compound - downregulates - Gene	CdG
CdG<rGiGdD	Gene > regulates > Gene	GrG
CdG<rGiGdD	Gene - interacts - Gene	GiG
CdG<rGiGdD	Disease - downregulates - Gene	DdG
CdG<rGiGuD	Compound - downregulates - Gene	CdG
CdG<rGiGuD	Gene > regulates > Gene	GrG
CdG<rGiGuD	Gene - interacts - Gene	GiG
CdG<rGiGuD	Disease - upregulates - Gene	DuG
CdG<rGr>GaD	Compound - downregulates - Gene	CdG
CdG<rGr>GaD	Gene > regulates > Gene	GrG
CdG<rGr>GaD	Gene > regulates > Gene	GrG
CdG<rGr>GaD	Disease - associates - Gene	DaG
CdG<rGr>GdD	Compound - downregulates - Gene	CdG
CdG<rGr>GdD	Gene > regulates > Gene	GrG
CdG<rGr>GdD	Gene > regulates > Gene	GrG
CdG<rGr>GdD	Disease - downregulates - Gene	DdG
CdG<rGr>GuD	Compound - downregulates - Gene	CdG
CdG<rGr>GuD	Gene > regulates > Gene	GrG
CdG<rGr>GuD	Gene > regulates > Gene	GrG
CdG<rGr>GuD	Disease - upregulates - Gene	DuG
CdG<rGuAlD	Compound - downregulates - Gene	CdG
CdG<rGuAlD	Gene > regulates > Gene	GrG
CdG<rGuAlD	Anatomy - upregulates - Gene	AuG
CdG<rGuAlD	Disease - localizes - Anatomy	DlA
CdG<rGuCpD	Compound - downregulates - Gene	CdG
CdG<rGuCpD	Gene > regulates > Gene	GrG
CdG<rGuCpD	Compound - upregulates - Gene	CuG
CdG<rGuCpD	Compound - palliates - Disease	CpD
CdG<rGuCtD	Compound - downregulates - Gene	CdG
CdG<rGuCtD	Gene > regulates > Gene	GrG
CdG<rGuCtD	Compound - upregulates - Gene	CuG
CdG<rGuCtD	Compound - treats - Disease	CtD
CdG<rGuDrD	Compound - downregulates - Gene	CdG
CdG<rGuDrD	Gene > regulates > Gene	GrG
CdG<rGuDrD	Disease - upregulates - Gene	DuG
CdG<rGuDrD	Disease - resembles - Disease	DrD
CdGaDaGaD	Compound - downregulates - Gene	CdG
CdGaDaGaD	Disease - associates - Gene	DaG
CdGaDaGaD	Disease - associates - Gene	DaG
CdGaDaGaD	Disease - associates - Gene	DaG
CdGaDaGdD	Compound - downregulates - Gene	CdG
CdGaDaGdD	Disease - associates - Gene	DaG
CdGaDaGdD	Disease - associates - Gene	DaG
CdGaDaGdD	Disease - downregulates - Gene	DdG
CdGaDaGuD	Compound - downregulates - Gene	CdG
CdGaDaGuD	Disease - associates - Gene	DaG
CdGaDaGuD	Disease - associates - Gene	DaG
CdGaDaGuD	Disease - upregulates - Gene	DuG
CdGaDdGaD	Compound - downregulates - Gene	CdG
CdGaDdGaD	Disease - associates - Gene	DaG
CdGaDdGaD	Disease - downregulates - Gene	DdG
CdGaDdGaD	Disease - associates - Gene	DaG
CdGaDdGdD	Compound - downregulates - Gene	CdG
CdGaDdGdD	Disease - associates - Gene	DaG
CdGaDdGdD	Disease - downregulates - Gene	DdG
CdGaDdGdD	Disease - downregulates - Gene	DdG
CdGaDdGuD	Compound - downregulates - Gene	CdG
CdGaDdGuD	Disease - associates - Gene	DaG
CdGaDdGuD	Disease - downregulates - Gene	DdG
CdGaDdGuD	Disease - upregulates - Gene	DuG
CdGaDlAlD	Compound - downregulates - Gene	CdG
CdGaDlAlD	Disease - associates - Gene	DaG
CdGaDlAlD	Disease - localizes - Anatomy	DlA
CdGaDlAlD	Disease - localizes - Anatomy	DlA
CdGaDpCpD	Compound - downregulates - Gene	CdG
CdGaDpCpD	Disease - associates - Gene	DaG
CdGaDpCpD	Compound - palliates - Disease	CpD
CdGaDpCpD	Compound - palliates - Disease	CpD
CdGaDpCtD	Compound - downregulates - Gene	CdG
CdGaDpCtD	Disease - associates - Gene	DaG
CdGaDpCtD	Compound - palliates - Disease	CpD
CdGaDpCtD	Compound - treats - Disease	CtD
CdGaDpSpD	Compound - downregulates - Gene	CdG
CdGaDpSpD	Disease - associates - Gene	DaG
CdGaDpSpD	Disease - presents - Symptom	DpS
CdGaDpSpD	Disease - presents - Symptom	DpS
CdGaDrDrD	Compound - downregulates - Gene	CdG
CdGaDrDrD	Disease - associates - Gene	DaG
CdGaDrDrD	Disease - resembles - Disease	DrD
CdGaDrDrD	Disease - resembles - Disease	DrD
CdGaDtCpD	Compound - downregulates - Gene	CdG
CdGaDtCpD	Disease - associates - Gene	DaG
CdGaDtCpD	Compound - treats - Disease	CtD
CdGaDtCpD	Compound - palliates - Disease	CpD
CdGaDtCtD	Compound - downregulates - Gene	CdG
CdGaDtCtD	Disease - associates - Gene	DaG
CdGaDtCtD	Compound - treats - Disease	CtD
CdGaDtCtD	Compound - treats - Disease	CtD
CdGaDuGaD	Compound - downregulates - Gene	CdG
CdGaDuGaD	Disease - associates - Gene	DaG
CdGaDuGaD	Disease - upregulates - Gene	DuG
CdGaDuGaD	Disease - associates - Gene	DaG
CdGaDuGdD	Compound - downregulates - Gene	CdG
CdGaDuGdD	Disease - associates - Gene	DaG
CdGaDuGdD	Disease - upregulates - Gene	DuG
CdGaDuGdD	Disease - downregulates - Gene	DdG
CdGaDuGuD	Compound - downregulates - Gene	CdG
CdGaDuGuD	Disease - associates - Gene	DaG
CdGaDuGuD	Disease - upregulates - Gene	DuG
CdGaDuGuD	Disease - upregulates - Gene	DuG
CdGbCbGaD	Compound - downregulates - Gene	CdG
CdGbCbGaD	Compound - binds - Gene	CbG
CdGbCbGaD	Compound - binds - Gene	CbG
CdGbCbGaD	Disease - associates - Gene	DaG
CdGbCbGdD	Compound - downregulates - Gene	CdG
CdGbCbGdD	Compound - binds - Gene	CbG
CdGbCbGdD	Compound - binds - Gene	CbG
CdGbCbGdD	Disease - downregulates - Gene	DdG
CdGbCbGuD	Compound - downregulates - Gene	CdG
CdGbCbGuD	Compound - binds - Gene	CbG
CdGbCbGuD	Compound - binds - Gene	CbG
CdGbCbGuD	Disease - upregulates - Gene	DuG
CdGbCdGaD	Compound - downregulates - Gene	CdG
CdGbCdGaD	Compound - binds - Gene	CbG
CdGbCdGaD	Compound - downregulates - Gene	CdG
CdGbCdGaD	Disease - associates - Gene	DaG
CdGbCdGdD	Compound - downregulates - Gene	CdG
CdGbCdGdD	Compound - binds - Gene	CbG
CdGbCdGdD	Compound - downregulates - Gene	CdG
CdGbCdGdD	Disease - downregulates - Gene	DdG
CdGbCdGuD	Compound - downregulates - Gene	CdG
CdGbCdGuD	Compound - binds - Gene	CbG
CdGbCdGuD	Compound - downregulates - Gene	CdG
CdGbCdGuD	Disease - upregulates - Gene	DuG
CdGbCpDrD	Compound - downregulates - Gene	CdG
CdGbCpDrD	Compound - binds - Gene	CbG
CdGbCpDrD	Compound - palliates - Disease	CpD
CdGbCpDrD	Disease - resembles - Disease	DrD
CdGbCrCpD	Compound - downregulates - Gene	CdG
CdGbCrCpD	Compound - binds - Gene	CbG
CdGbCrCpD	Compound - resembles - Compound	CrC
CdGbCrCpD	Compound - palliates - Disease	CpD
CdGbCrCtD	Compound - downregulates - Gene	CdG
CdGbCrCtD	Compound - binds - Gene	CbG
CdGbCrCtD	Compound - resembles - Compound	CrC
CdGbCrCtD	Compound - treats - Disease	CtD
CdGbCtDrD	Compound - downregulates - Gene	CdG
CdGbCtDrD	Compound - binds - Gene	CbG
CdGbCtDrD	Compound - treats - Disease	CtD
CdGbCtDrD	Disease - resembles - Disease	DrD
CdGbCuGaD	Compound - downregulates - Gene	CdG
CdGbCuGaD	Compound - binds - Gene	CbG
CdGbCuGaD	Compound - upregulates - Gene	CuG
CdGbCuGaD	Disease - associates - Gene	DaG
CdGbCuGdD	Compound - downregulates - Gene	CdG
CdGbCuGdD	Compound - binds - Gene	CbG
CdGbCuGdD	Compound - upregulates - Gene	CuG
CdGbCuGdD	Disease - downregulates - Gene	DdG
CdGbCuGuD	Compound - downregulates - Gene	CdG
CdGbCuGuD	Compound - binds - Gene	CbG
CdGbCuGuD	Compound - upregulates - Gene	CuG
CdGbCuGuD	Disease - upregulates - Gene	DuG
CdGcG<rGaD	Compound - downregulates - Gene	CdG
CdGcG<rGaD	Gene - covaries - Gene	GcG
CdGcG<rGaD	Gene > regulates > Gene	GrG
CdGcG<rGaD	Disease - associates - Gene	DaG
CdGcG<rGdD	Compound - downregulates - Gene	CdG
CdGcG<rGdD	Gene - covaries - Gene	GcG
CdGcG<rGdD	Gene > regulates > Gene	GrG
CdGcG<rGdD	Disease - downregulates - Gene	DdG
CdGcG<rGuD	Compound - downregulates - Gene	CdG
CdGcG<rGuD	Gene - covaries - Gene	GcG
CdGcG<rGuD	Gene > regulates > Gene	GrG
CdGcG<rGuD	Disease - upregulates - Gene	DuG
CdGcGaDrD	Compound - downregulates - Gene	CdG
CdGcGaDrD	Gene - covaries - Gene	GcG
CdGcGaDrD	Disease - associates - Gene	DaG
CdGcGaDrD	Disease - resembles - Disease	DrD
CdGcGbCpD	Compound - downregulates - Gene	CdG
CdGcGbCpD	Gene - covaries - Gene	GcG
CdGcGbCpD	Compound - binds - Gene	CbG
CdGcGbCpD	Compound - palliates - Disease	CpD
CdGcGbCtD	Compound - downregulates - Gene	CdG
CdGcGbCtD	Gene - covaries - Gene	GcG
CdGcGbCtD	Compound - binds - Gene	CbG
CdGcGbCtD	Compound - treats - Disease	CtD
CdGcGcGaD	Compound - downregulates - Gene	CdG
CdGcGcGaD	Gene - covaries - Gene	GcG
CdGcGcGaD	Gene - covaries - Gene	GcG
CdGcGcGaD	Disease - associates - Gene	DaG
CdGcGcGdD	Compound - downregulates - Gene	CdG
CdGcGcGdD	Gene - covaries - Gene	GcG
CdGcGcGdD	Gene - covaries - Gene	GcG
CdGcGcGdD	Disease - downregulates - Gene	DdG
CdGcGcGuD	Compound - downregulates - Gene	CdG
CdGcGcGuD	Gene - covaries - Gene	GcG
CdGcGcGuD	Gene - covaries - Gene	GcG
CdGcGcGuD	Disease - upregulates - Gene	DuG
CdGcGdAlD	Compound - downregulates - Gene	CdG
CdGcGdAlD	Gene - covaries - Gene	GcG
CdGcGdAlD	Anatomy - downregulates - Gene	AdG
CdGcGdAlD	Disease - localizes - Anatomy	DlA
CdGcGdCpD	Compound - downregulates - Gene	CdG
CdGcGdCpD	Gene - covaries - Gene	GcG
CdGcGdCpD	Compound - downregulates - Gene	CdG
CdGcGdCpD	Compound - palliates - Disease	CpD
CdGcGdCtD	Compound - downregulates - Gene	CdG
CdGcGdCtD	Gene - covaries - Gene	GcG
CdGcGdCtD	Compound - downregulates - Gene	CdG
CdGcGdCtD	Compound - treats - Disease	CtD
CdGcGdDrD	Compound - downregulates - Gene	CdG
CdGcGdDrD	Gene - covaries - Gene	GcG
CdGcGdDrD	Disease - downregulates - Gene	DdG
CdGcGdDrD	Disease - resembles - Disease	DrD
CdGcGeAlD	Compound - downregulates - Gene	CdG
CdGcGeAlD	Gene - covaries - Gene	GcG
CdGcGeAlD	Anatomy - expresses - Gene	AeG
CdGcGeAlD	Disease - localizes - Anatomy	DlA
CdGcGiGaD	Compound - downregulates - Gene	CdG
CdGcGiGaD	Gene - covaries - Gene	GcG
CdGcGiGaD	Gene - interacts - Gene	GiG
CdGcGiGaD	Disease - associates - Gene	DaG
CdGcGiGdD	Compound - downregulates - Gene	CdG
CdGcGiGdD	Gene - covaries - Gene	GcG
CdGcGiGdD	Gene - interacts - Gene	GiG
CdGcGiGdD	Disease - downregulates - Gene	DdG
CdGcGiGuD	Compound - downregulates - Gene	CdG
CdGcGiGuD	Gene - covaries - Gene	GcG
CdGcGiGuD	Gene - interacts - Gene	GiG
CdGcGiGuD	Disease - upregulates - Gene	DuG
CdGcGr>GaD	Compound - downregulates - Gene	CdG
CdGcGr>GaD	Gene - covaries - Gene	GcG
CdGcGr>GaD	Gene > regulates > Gene	GrG
CdGcGr>GaD	Disease - associates - Gene	DaG
CdGcGr>GdD	Compound - downregulates - Gene	CdG
CdGcGr>GdD	Gene - covaries - Gene	GcG
CdGcGr>GdD	Gene > regulates > Gene	GrG
CdGcGr>GdD	Disease - downregulates - Gene	DdG
CdGcGr>GuD	Compound - downregulates - Gene	CdG
CdGcGr>GuD	Gene - covaries - Gene	GcG
CdGcGr>GuD	Gene > regulates > Gene	GrG
CdGcGr>GuD	Disease - upregulates - Gene	DuG
CdGcGuAlD	Compound - downregulates - Gene	CdG
CdGcGuAlD	Gene - covaries - Gene	GcG
CdGcGuAlD	Anatomy - upregulates - Gene	AuG
CdGcGuAlD	Disease - localizes - Anatomy	DlA
CdGcGuCpD	Compound - downregulates - Gene	CdG
CdGcGuCpD	Gene - covaries - Gene	GcG
CdGcGuCpD	Compound - upregulates - Gene	CuG
CdGcGuCpD	Compound - palliates - Disease	CpD
CdGcGuCtD	Compound - downregulates - Gene	CdG
CdGcGuCtD	Gene - covaries - Gene	GcG
CdGcGuCtD	Compound - upregulates - Gene	CuG
CdGcGuCtD	Compound - treats - Disease	CtD
CdGcGuDrD	Compound - downregulates - Gene	CdG
CdGcGuDrD	Gene - covaries - Gene	GcG
CdGcGuDrD	Disease - upregulates - Gene	DuG
CdGcGuDrD	Disease - resembles - Disease	DrD
CdGdAdGaD	Compound - downregulates - Gene	CdG
CdGdAdGaD	Anatomy - downregulates - Gene	AdG
CdGdAdGaD	Anatomy - downregulates - Gene	AdG
CdGdAdGaD	Disease - associates - Gene	DaG
CdGdAdGdD	Compound - downregulates - Gene	CdG
CdGdAdGdD	Anatomy - downregulates - Gene	AdG
CdGdAdGdD	Anatomy - downregulates - Gene	AdG
CdGdAdGdD	Disease - downregulates - Gene	DdG
CdGdAdGuD	Compound - downregulates - Gene	CdG
CdGdAdGuD	Anatomy - downregulates - Gene	AdG
CdGdAdGuD	Anatomy - downregulates - Gene	AdG
CdGdAdGuD	Disease - upregulates - Gene	DuG
CdGdAeGaD	Compound - downregulates - Gene	CdG
CdGdAeGaD	Anatomy - downregulates - Gene	AdG
CdGdAeGaD	Anatomy - expresses - Gene	AeG
CdGdAeGaD	Disease - associates - Gene	DaG
CdGdAeGdD	Compound - downregulates - Gene	CdG
CdGdAeGdD	Anatomy - downregulates - Gene	AdG
CdGdAeGdD	Anatomy - expresses - Gene	AeG
CdGdAeGdD	Disease - downregulates - Gene	DdG
CdGdAeGuD	Compound - downregulates - Gene	CdG
CdGdAeGuD	Anatomy - downregulates - Gene	AdG
CdGdAeGuD	Anatomy - expresses - Gene	AeG
CdGdAeGuD	Disease - upregulates - Gene	DuG
CdGdAlDrD	Compound - downregulates - Gene	CdG
CdGdAlDrD	Anatomy - downregulates - Gene	AdG
CdGdAlDrD	Disease - localizes - Anatomy	DlA
CdGdAlDrD	Disease - resembles - Disease	DrD
CdGdAuGaD	Compound - downregulates - Gene	CdG
CdGdAuGaD	Anatomy - downregulates - Gene	AdG
CdGdAuGaD	Anatomy - upregulates - Gene	AuG
CdGdAuGaD	Disease - associates - Gene	DaG
CdGdAuGdD	Compound - downregulates - Gene	CdG
CdGdAuGdD	Anatomy - downregulates - Gene	AdG
CdGdAuGdD	Anatomy - upregulates - Gene	AuG
CdGdAuGdD	Disease - downregulates - Gene	DdG
CdGdAuGuD	Compound - downregulates - Gene	CdG
CdGdAuGuD	Anatomy - downregulates - Gene	AdG
CdGdAuGuD	Anatomy - upregulates - Gene	AuG
CdGdAuGuD	Disease - upregulates - Gene	DuG
CdGdCbGaD	Compound - downregulates - Gene	CdG
CdGdCbGaD	Compound - downregulates - Gene	CdG
CdGdCbGaD	Compound - binds - Gene	CbG
CdGdCbGaD	Disease - associates - Gene	DaG
CdGdCbGdD	Compound - downregulates - Gene	CdG
CdGdCbGdD	Compound - downregulates - Gene	CdG
CdGdCbGdD	Compound - binds - Gene	CbG
CdGdCbGdD	Disease - downregulates - Gene	DdG
CdGdCbGuD	Compound - downregulates - Gene	CdG
CdGdCbGuD	Compound - downregulates - Gene	CdG
CdGdCbGuD	Compound - binds - Gene	CbG
CdGdCbGuD	Disease - upregulates - Gene	DuG
CdGdCdGaD	Compound - downregulates - Gene	CdG
CdGdCdGaD	Compound - downregulates - Gene	CdG
CdGdCdGaD	Compound - downregulates - Gene	CdG
CdGdCdGaD	Disease - associates - Gene	DaG
CdGdCdGdD	Compound - downregulates - Gene	CdG
